E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.053162, 0.0807264, 1, 0.566913, 0.929819
0.0508662, 0.126162, 0.88525, 0.410677, 0.885679
0.0640735, 0.127281, 0.610547, 0.316433, 0.7953
0.0629454, 0.165691, 0.422134, 0.25737, 0.705123
0.0737871, 0.20369, 0.336886, 0.219848, 0.587947
0.084624, 0.141079, 0.276609, 0.19975, 0.496977
0.0823417, 0.192809, 0.244316, 0.179809, 0.516081
0.0910574, 0.284137, 0.225349, 0.176987, 0.50677
0.0758938, 0.347433, 0.223097, 0.170908, 0.525176
0.0754729, 0.448857, 0.223097, 0.155684, 0.551448
0.0741554, 0.500526, 0.223097, 0.144056, 0.567334
0.0503373, 0.566316, 0.223097, 0.140447, 0.572834
0.0574254, 0.593535, 0.223097, 0.135019, 0.561388
0.0589425, 0.623647, 0.223097, 0.136236, 0.489199
0.0592953, 0.673356, 0.216021, 0.131093, 0.513853
0.0757938, 0.695397, 0.216021, 0.129583, 0.512432
0.0877142, 0.705401, 0.216021, 0.125852, 0.524989
0.0910622, 0.720487, 0.216021, 0.124994, 0.522919
0.064508, 0.76573, 0.216021, 0.12243, 0.517517
0.0881435, 0.727155, 0.214463, 0.116723, 0.49774
0.084005, 0.736446, 0.20998, 0.115244, 0.450523
0.0580963, 0.757334, 0.20531, 0.114969, 0.461002
0.0573331, 0.770811, 0.20531, 0.105163, 0.463028
0.0249367, 0.762391, 0.202216, 0.106726, 0.463081
0.0938443, 0.780739, 0.202216, 0.106987, 0.432838
0.0883347, 0.814204, 0.202216, 0.104402, 0.460667
0.104599, 0.809105, 0.201897, 0.107331, 0.415419
0.108681, 0.813631, 0.19683, 0.105821, 0.436123
0.0901224, 0.818739, 0.19683, 0.111317, 0.40698
0.0814222, 0.831417, 0.19683, 0.104616, 0.378752
0.106313, 0.827401, 0.191591, 0.102558, 0.353825
0.103473, 0.836052, 0.185469, 0.0997441, 0.361672
0.123341, 0.843687, 0.185469, 0.0966944, 0.353115
0.117003, 0.868487, 0.18549, 0.0986108, 0.343751
0.0926607, 0.859226, 0.18549, 0.0971953, 0.304126
0.10893, 0.828111, 0.181788, 0.0944908, 0.293957
0.0836248, 0.859015, 0.181788, 0.0932236, 0.316698
0.0677474, 0.835911, 0.181788, 0.089728, 0.329151
0.0663983, 0.818276, 0.181788, 0.0921608, 0.315575
0.0773018, 0.828369, 0.181788, 0.0881755, 0.313906
0.0726986, 0.854875, 0.181788, 0.0899334, 0.29599
0.0635522, 0.843184, 0.177369, 0.0884185, 0.252029
