the last, the last 100 averaged mu
-0.0579094,0.0508176
0.141368,0.162474
0.375062,0.322511
0.294896,0.245819
0.353823,0.335561
0.401391,0.384223
0.455247,0.439382
0.353083,0.342223
0.31181,0.299157
0.00936699,0.000594235
0.171145,0.14883
0.0408858,0.0912629
-0.0146771,-0.030961
-0.0470311,-0.0597
0.0422516,0.0547927
0.0394059,0.000704159
0.193016,0.166773
0.150227,0.180919
0.112629,0.127598
0.104751,0.180894
-0.0167219,0.0193485
-0.066019,-0.0222796
-0.0357081,-0.0352751
0.0549313,0.00326954
-0.0302211,-0.0370965
0.0787956,0.0963557
-0.02024,-0.0214313
0.17909,0.177386
-0.028196,-0.0325766
-0.0123326,-0.0164194
0.262518,0.254858
0.257785,0.262987
0.385973,0.405941
0.34546,0.337361
0.252521,0.254585
0.238652,0.25727
0.249291,0.29815
0.340191,0.407699
0.422954,0.456762
0.476485,0.496144
0.423755,0.405199
0.234085,0.272167
0.156081,0.244972
0.194697,0.205517
0.416464,0.415143
0.498981,0.503738
0.441022,0.420518
0.354811,0.369091
0.397227,0.394189
0.680891,0.692088
0.736668,0.72027
0.767174,0.719982
0.490987,0.51681
0.38051,0.448658
0.226887,0.293205
0.271408,0.26798
0.373123,0.329026
0.217587,0.210951
0.0323742,0.0577015
0.0986886,0.0940833
0.143415,0.160786
0.157207,0.192254
0.0517666,0.0709676
-0.098764,-0.088521
0.147629,0.080814
0.123439,0.0815277
0.0972281,0.0870521
-0.0559282,-0.0265395
-0.0497014,-0.0896883
-0.157338,-0.122902
-0.0824827,-0.0808961
-0.0480435,0.0175652
-0.00728937,0.0110531
0.134318,0.133143
0.0458322,0.0305452
0.308288,0.308618
0.23834,0.221726
0.423401,0.368608
0.34456,0.325168
0.266212,0.260433
0.215564,0.242316
0.128419,0.157147
0.0173167,0.047942
0.125489,0.100567
0.129186,0.0535664
0.170152,0.0996473
0.512762,0.43284
0.476634,0.429948
0.285903,0.251807
0.337687,0.31493
0.17015,0.114375
0.0998341,0.0863053
-0.0116103,-0.0285186
0.162698,0.127044
0.143314,0.102016
0.217584,0.203565
0.313945,0.323943
0.448064,0.456688
0.430856,0.435071
0.306796,0.320184
0.220929,0.230612
0.112988,0.168763
0.213528,0.252367
0.220856,0.226742
0.238854,0.241328
0.248453,0.228945
0.210805,0.189714
0.114852,0.139524
0.101843,0.0720467
-0.0596299,-0.0445422
0.0668396,0.0202147
0.348427,0.263777
0.201541,0.148326
-0.0526892,-0.0129157
-0.122184,-0.131281
-0.159573,-0.171161
-0.0486896,-0.0135398
-0.187873,-0.137738
-0.000399845,0.0534648
-0.0476081,-0.0439609
-0.207205,-0.198065
-0.135952,-0.162006
0.0487275,-0.0142027
-0.0809184,-0.135169
-0.0725322,-0.139613
-0.0234878,-0.0772581
0.0805688,0.0589438
0.0754447,0.0830089
0.397305,0.321176
0.378918,0.372064
0.417214,0.397928
0.257744,0.258851
0.299831,0.262844
0.158659,0.147812
0.17795,0.200289
0.18678,0.221691
0.131079,0.210618
0.197895,0.237573
0.219491,0.210371
0.118699,0.14755
0.245527,0.212592
0.165731,0.10087
0.0176181,-0.0238516
-0.165778,-0.202717
0.173068,0.149043
0.365073,0.306525
0.443552,0.35069
0.302257,0.214257
0.0384654,-0.0136876
-0.0898326,-0.1995
0.0108811,-0.0109182
0.191966,0.172186
0.247459,0.214791
0.177115,0.20073
0.239306,0.265792
0.343421,0.345083
0.534236,0.531593
0.482844,0.502379
0.413078,0.390834
0.546924,0.476084
0.431203,0.389711
0.396815,0.319656
0.395009,0.347746
0.309811,0.280067
0.248314,0.243111
0.271899,0.233583
0.427399,0.411689
0.38932,0.36349
0.251716,0.23152
0.281226,0.329907
0.358224,0.329572
-0.0141032,0.00659532
0.321564,0.314411
0.331175,0.329953
0.412141,0.446883
0.233653,0.235372
0.177373,0.181163
0.0787736,0.0912896
0.203606,0.21802
0.032444,0.0486135
0.107421,0.0606062
-0.0439241,-0.0853909
-0.121699,-0.0789255
-0.161766,-0.127764
-0.316311,-0.222171
-0.283887,-0.228982
-0.256382,-0.268088
-0.24623,-0.18209
-0.321154,-0.294239
-0.267188,-0.288606
-0.510472,-0.521968
-0.321008,-0.323973
-0.528364,-0.530096
-0.465371,-0.467143
-0.240981,-0.233681
-0.119396,-0.185705
-0.26433,-0.305086
-0.375087,-0.464579
-0.487927,-0.490106
-0.242409,-0.216355
-0.239283,-0.253551
-0.0435328,-0.0671563
-0.0736841,-0.0511485
-0.266886,-0.253091
-0.310488,-0.264098
-0.191735,-0.16698
-0.222422,-0.189361
-0.440161,-0.362121
-0.365477,-0.392324
-0.223813,-0.300041
-0.19847,-0.237648
-0.0673166,-0.104074
-0.059622,-0.154888
0.06095,-0.0284517
-0.0213127,-0.019916
-0.201497,-0.169256
-0.174758,-0.135118
0.020098,0.00351037
-0.128137,-0.12153
-0.103934,-0.0624543
-0.0408807,-0.0324231
0.155358,0.158113
0.00666217,0.0568664
-0.0698166,0.0198492
-0.222978,-0.113918
-0.158216,-0.115839
-0.202946,-0.164742
-0.164324,-0.0946084
-0.302907,-0.253832
-0.116609,-0.124189
-0.248552,-0.289048
-0.208964,-0.204825
-0.174454,-0.126616
0.0535734,0.105511
0.0548535,0.0313953
0.0508424,0.0642632
0.0853521,0.0855177
-0.0466772,-0.0374102
-0.0275215,-0.00474792
-0.179854,-0.192155
-0.061368,-0.0726528
0.0128769,-0.0563265
-0.128001,-0.111614
0.094683,0.0505122
0.294448,0.2417
0.223388,0.226347
0.113673,0.193588
0.064347,0.101566
-0.0185,0.0198252
0.173173,0.149082
0.0538837,0.0482647
