the last, the last 100 averaged mu
-0.00813383,0.089086
0.134807,0.165341
0.291265,0.281357
0.264756,0.239157
0.295377,0.309638
0.346051,0.347004
0.340749,0.37842
0.206087,0.310369
0.144873,0.269038
-0.031314,0.0665294
0.0760817,0.15411
0.0237872,0.107992
-0.0681333,0.0192091
-0.0357895,-0.00500617
0.000372959,0.0678554
-0.00960086,0.0441817
0.0969183,0.158948
0.14514,0.165939
0.111173,0.125189
0.152284,0.144657
0.000404,0.0261116
-0.0307744,-0.00226625
-0.047508,-0.00953115
0.00723276,0.0152939
0.0230301,-0.0101938
0.109523,0.082842
-0.0966817,0.00266676
0.133195,0.130269
0.0405829,-0.00872522
0.0724338,0.0183864
0.274945,0.217522
0.249374,0.243323
0.341328,0.351782
0.26767,0.313783
0.22177,0.264356
0.252632,0.271551
0.349398,0.319013
0.424084,0.404756
0.442358,0.434073
0.450549,0.451033
0.343811,0.374894
0.282936,0.28397
0.250359,0.285921
0.241584,0.271792
0.427789,0.428017
0.537539,0.488082
0.432187,0.434324
0.411057,0.407028
0.45502,0.445143
0.602614,0.652732
0.598663,0.662776
0.582754,0.64779
0.409667,0.481583
0.384692,0.420722
0.373713,0.301924
0.347461,0.27898
0.336598,0.297457
0.217372,0.193012
0.112588,0.0758977
0.137864,0.0918024
0.142824,0.122559
0.156093,0.141809
0.0644587,0.0563272
-0.102855,-0.0431906
0.0547689,0.0639112
0.057835,0.0622039
0.0834654,0.0583025
-0.0149715,-0.0332057
-0.069769,-0.0794364
-0.10134,-0.103723
-0.00602313,-0.0611393
0.0116977,0.0237109
0.0136702,0.0394727
0.145994,0.140543
0.0885892,0.102133
0.228045,0.300009
0.285662,0.251479
0.352324,0.345405
0.277927,0.313194
0.191228,0.260372
0.206183,0.238326
0.163894,0.171692
0.0876917,0.103464
0.096313,0.142233
0.0354015,0.121193
0.123199,0.1656
0.390644,0.39255
0.395628,0.37702
0.231216,0.244283
0.188626,0.269402
0.102404,0.129672
0.0662571,0.105279
-0.0177668,0.0434479
0.124824,0.165036
0.132028,0.167349
0.22504,0.249545
0.259143,0.337379
0.365593,0.416042
0.381118,0.386514
0.286571,0.290867
0.134361,0.221631
0.178162,0.169759
0.252581,0.214297
0.167357,0.194975
0.188409,0.194206
0.126393,0.170762
0.081669,0.134117
0.0852462,0.0942575
-0.0152231,0.040392
-0.0845758,-0.0356151
-0.0129765,0.0138938
0.123942,0.168585
0.101905,0.0823456
0.0106691,-0.0284315
-0.0905982,-0.111572
-0.135856,-0.133212
-0.00205654,-0.0349704
-0.0424168,-0.124427
0.0671878,-0.00460631
-0.0536079,-0.0683569
-0.161917,-0.164267
-0.0286741,-0.124801
0.09119,-0.0172616
-0.0559184,-0.0897505
-0.0313451,-0.0766729
0.0159102,-0.0187081
0.142324,0.0903719
0.212315,0.116129
0.354233,0.289661
0.32512,0.320213
0.356083,0.335374
0.216513,0.230131
0.232751,0.230028
0.222392,0.149352
0.21715,0.182359
0.211049,0.198988
0.19934,0.19203
0.282114,0.212076
0.207073,0.193983
0.162038,0.15329
0.173201,0.198064
0.144547,0.122081
0.0452418,0.0350006
-0.0597458,-0.0747433
0.227572,0.175036
0.287356,0.273425
0.211432,0.284786
0.114134,0.175518
-0.0388356,0.022824
-0.218449,-0.0904175
-0.0451488,0.0407331
0.133634,0.173301
0.223436,0.219134
0.215121,0.230728
0.301976,0.293259
0.419831,0.365255
0.529233,0.497575
0.445081,0.474132
0.32587,0.394924
0.43503,0.445136
0.41157,0.386447
0.343046,0.338777
0.395177,0.364432
0.343873,0.318934
0.27096,0.290955
0.232453,0.284186
0.386722,0.399822
0.374389,0.361045
0.311718,0.25897
0.378674,0.310681
0.345657,0.29881
0.146886,0.0886669
0.311725,0.304029
0.302619,0.314855
0.419952,0.381123
0.291372,0.219947
0.203913,0.166615
0.104475,0.0971067
0.183797,0.165752
0.067574,0.0358664
0.0762757,0.0271615
-0.0602833,-0.0832056
-0.0459297,-0.087147
-0.10515,-0.131373
-0.170874,-0.203427
-0.219858,-0.215435
-0.265315,-0.261368
-0.221874,-0.211165
-0.379489,-0.304649
-0.406859,-0.315948
-0.518798,-0.476309
-0.353406,-0.343888
-0.425481,-0.466418
-0.401048,-0.404421
-0.236415,-0.237015
-0.210146,-0.213767
-0.34509,-0.303438
-0.420976,-0.399907
-0.36954,-0.394854
-0.192514,-0.197599
-0.238462,-0.214866
-0.100197,-0.102655
-0.0835803,-0.102578
-0.21721,-0.247353
-0.204645,-0.255207
-0.220075,-0.194222
-0.269239,-0.205158
-0.338318,-0.32112
-0.316068,-0.326396
-0.278811,-0.256553
-0.200903,-0.196477
-0.111113,-0.10221
-0.0875472,-0.125313
0.0642429,-0.0299771
-0.00905799,-0.0341277
-0.130551,-0.131723
-0.118009,-0.110862
-0.0254083,-0.01844
-0.121042,-0.0882242
-0.109434,-0.0255421
-0.022135,0.00950848
0.122033,0.12428
-0.0265416,0.0395483
-0.0709324,-0.00402599
-0.168532,-0.114493
-0.234851,-0.136495
-0.249223,-0.181698
-0.173415,-0.130172
-0.265215,-0.23038
-0.137614,-0.131803
-0.243274,-0.228375
-0.173371,-0.15366
-0.0506858,-0.0785989
0.116825,0.0870196
0.013728,0.0453704
0.0593731,0.0719211
0.0540051,0.0813229
-0.0675152,-0.0111069
-0.0600765,-0.00701478
-0.174813,-0.133468
-0.0266699,-0.0509414
-0.0236546,-0.0308019
-0.105239,-0.054024
0.0747426,0.0736508
0.202154,0.217687
0.14775,0.204956
0.178771,0.174146
0.0907476,0.109418
0.089755,0.0589558
0.152326,0.136842
0.0774586,0.0646459
0.094705,0.0883163
0.115971,0.114488
0.115917,0.0775098
0.322214,0.305539
0.0897057,0.121962
0.163309,0.206412
0.032697,0.0672247
-0.0761796,-0.0256149
0.0470088,0.0233895
0.0849521,0.0571378
0.117453,0.0908479
0.212808,0.203423
0.250748,0.253039
0.280503,0.306131
0.264129,0.311688
0.376738,0.402731
0.574908,0.595183
0.450025,0.486984
0.441484,0.439441
0.479674,0.464571
0.287132,0.289191
0.245201,0.294039
0.3592,0.400521
0.328615,0.346286
0.341913,0.400368
0.321429,0.369094
0.266044,0.35744
0.225325,0.2859
0.228862,0.239224
0.205666,0.215898
0.124402,0.128165
0.0498177,0.0276599
0.112794,0.0726303
-0.137286,-0.118686
-0.0429616,-0.0230893
0.0656392,-0.000601665
0.184393,0.107812
0.122711,0.0864705
0.167293,0.145918
0.142754,0.156702
0.239985,0.220137
0.191756,0.179739
0.170691,0.112135
0.12044,0.0750798
-0.045085,-0.0070703
-0.0963314,-0.107109
-0.0562081,-0.0757532
0.0103567,-0.0316627
0.0475406,0.0177536
0.126357,0.124469
0.047878,0.0863659
0.188766,0.172968
0.218059,0.239421
0.280981,0.285074
0.373697,0.387333
0.343467,0.306983
0.271777,0.271401
0.322713,0.338241
0.298858,0.365622
0.413102,0.487793
0.45306,0.517733
0.43741,0.500867
0.421106,0.475165
0.401601,0.372274
0.433058,0.393301
0.3414,0.304358
0.212876,0.192945
0.173784,0.204811
0.326817,0.372849
0.335934,0.402005
0.400837,0.431349
0.248535,0.311709
0.202752,0.206935
0.244461,0.232169
0.144459,0.193336
0.0112622,0.0686158
0.138742,0.151154
0.125104,0.121531
0.0532689,0.0167633
0.0914326,0.0400397
0.102307,0.0981579
0.128582,0.113127
0.148687,0.0702621
0.158415,0.0982471
0.0894295,0.0809507
0.0101211,-0.00599704
0.003843,-0.0568352
0.133645,0.0126898
0.217123,0.0739646
0.1541,0.0376978
-0.145756,-0.143319
0.0161876,-0.00605158
-0.00646545,-0.0235068
0.0368873,0.0504023
-0.0539715,-0.0282884
-0.0150695,0.0158742
0.0402066,0.0383783
0.103884,0.073578
0.0803412,0.116028
0.132041,0.145218
0.117382,0.143952
0.0813338,0.0540844
-0.218067,-0.154581
-0.0485586,-0.00548988
-0.0493411,-0.0953969
0.0198086,-0.0364348
0.0737951,0.125337
0.0226338,0.122799
-0.0800412,0.0142912
0.0530763,0.0941537
-0.029667,0.00663255
-0.00850967,0.0410299
-0.132213,-0.0388692
-0.0334137,0.0476949
0.111471,0.157131
0.225106,0.264572
0.131994,0.176326
0.257997,0.243614
0.247678,0.297554
0.191488,0.308691
0.0686304,0.128987
0.0586397,0.158294
0.138947,0.206199
0.0647007,0.154162
-0.0834726,0.00794559
-0.0371714,-0.0182563
-0.14305,-0.122146
-0.196792,-0.180474
-0.183116,-0.186928
-0.068405,-0.071267
-0.0693894,-0.015441
-0.0188833,0.0612847
-0.0108681,0.0186423
0.10098,0.0759643
0.0596287,0.0481683
0.0786416,0.0365925
-0.0880673,-0.131753
-0.10937,-0.165597
-0.201564,-0.219092
-0.257533,-0.232497
-0.119783,-0.130002
-0.200055,-0.216243
-0.203993,-0.186839
-0.193848,-0.224691
-0.100224,-0.139067
-0.12098,-0.116477
0.006405,0.00051286
0.0346581,0.0679518
0.00612914,0.0986507
0.025437,0.104864
0.020199,0.145956
