E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.0673019, -0.077823, 1, 0.510058, 0.882032
0.0717136, 0.0672866, 0.757273, 0.335944, 0.742873
0.0545816, 0.189958, 0.457973, 0.268296, 0.609049
0.0407878, 0.197694, 0.340459, 0.242125, 0.51414
0.0607307, 0.233551, 0.256632, 0.208547, 0.479322
0.0819008, 0.314139, 0.238752, 0.20099, 0.537701
0.0842004, 0.4012, 0.231761, 0.189158, 0.546648
0.0889499, 0.42993, 0.231761, 0.176972, 0.573214
0.102159, 0.530573, 0.231761, 0.168337, 0.561953
0.100531, 0.567032, 0.231761, 0.159119, 0.562277
0.103046, 0.608909, 0.231761, 0.153625, 0.560331
0.0758342, 0.612875, 0.230059, 0.150526, 0.540347
0.0826058, 0.599425, 0.230059, 0.146279, 0.502409
0.0677259, 0.64819, 0.227442, 0.143151, 0.489808
0.0696665, 0.657095, 0.22025, 0.139714, 0.479574
0.0706488, 0.675619, 0.216173, 0.138207, 0.467969
0.0379248, 0.700464, 0.216173, 0.139965, 0.506929
0.0922907, 0.716826, 0.216173, 0.133609, 0.513028
0.0685864, 0.762311, 0.216173, 0.123973, 0.456027
0.0444876, 0.792048, 0.207952, 0.123791, 0.434439
0.0558566, 0.799943, 0.205389, 0.115365, 0.438316
0.0807018, 0.767107, 0.199087, 0.112946, 0.431222
0.0886488, 0.756965, 0.196102, 0.11446, 0.420367
0.0702213, 0.790956, 0.196102, 0.112625, 0.40641
0.049706, 0.812944, 0.196102, 0.110883, 0.375137
0.0896316, 0.795431, 0.196102, 0.111302, 0.387509
0.0604722, 0.766049, 0.195002, 0.107283, 0.360471
0.0814886, 0.810674, 0.191328, 0.106954, 0.316102
0.0859357, 0.846804, 0.179232, 0.110517, 0.277485
0.0534146, 0.845814, 0.175094, 0.103241, 0.210041
0.0852907, 0.846713, 0.171239, 0.105585, 0.170695
0.0228752, 0.830736, 0.165437, 0.107783, 0.155895
0.0560859, 0.827446, 0.163414, 0.104317, 0.12805
0.0631806, 0.869708, 0.159119, 0.104562, 0.0190493
0.0576466, 0.864498, 0.155911, 0.104257, 0.019084
0.0695818, 0.83929, 0.158696, 0.102244, 0.0338532
0.0697882, 0.87355, 0.155117, 0.104034, -0.0145004
0.0724018, 0.869539, 0.154235, 0.11136, -0.0406642
0.0648447, 0.838766, 0.151688, 0.111074, -0.0825656
0.0770011, 0.847462, 0.143409, 0.108857, -0.139872
0.0958901, 0.837007, 0.139192, 0.113465, -0.180743
0.0622963, 0.829313, 0.139192, 0.118731, -0.191646
0.0904666, 0.853435, 0.139192, 0.125932, -0.197571
0.101562, 0.812384, 0.138094, 0.123257, -0.195724
0.0615583, 0.842384, 0.134618, 0.12249, -0.247879
0.0512147, 0.797498, 0.13515, 0.125653, -0.270663
0.0604076, 0.810219, 0.133663, 0.132728, -0.290729
