E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.081308, -0.113984, 1, 0.498059, 0.867825
0.0857577, 0.0043149, 0.679877, 0.323835, 0.720583
0.0905837, 0.130142, 0.409597, 0.256054, 0.611427
0.0909744, 0.172778, 0.315547, 0.222583, 0.534877
0.098327, 0.249795, 0.27081, 0.200764, 0.534077
0.0556805, 0.278891, 0.253176, 0.189818, 0.549256
0.0545782, 0.354164, 0.244044, 0.175089, 0.538147
0.0676184, 0.440385, 0.236715, 0.173915, 0.508134
0.0622803, 0.420083, 0.227318, 0.166469, 0.518425
0.0721179, 0.517199, 0.227318, 0.160614, 0.567967
0.0553157, 0.520094, 0.227318, 0.156831, 0.564745
0.0566681, 0.525866, 0.227318, 0.149448, 0.569935
0.0789095, 0.553738, 0.227318, 0.142258, 0.570416
0.0975523, 0.634004, 0.227318, 0.139618, 0.602144
0.0934084, 0.66625, 0.227318, 0.139259, 0.576399
0.0947885, 0.646821, 0.227318, 0.140912, 0.578521
0.101558, 0.664544, 0.227318, 0.132192, 0.533854
0.0977995, 0.701095, 0.225416, 0.122707, 0.495123
0.0984839, 0.729875, 0.220412, 0.114247, 0.484304
0.130249, 0.757741, 0.217534, 0.110445, 0.497513
0.0981088, 0.823066, 0.217534, 0.106768, 0.477051
0.111229, 0.840914, 0.211531, 0.101475, 0.458487
0.12601, 0.844297, 0.211531, 0.0996732, 0.417182
0.0886123, 0.832911, 0.203758, 0.0923241, 0.397466
0.0905688, 0.865923, 0.203758, 0.0895711, 0.448344
0.144857, 0.886378, 0.202543, 0.0840014, 0.433321
0.0967637, 0.897929, 0.202543, 0.0828534, 0.434882
0.0795943, 0.895161, 0.202543, 0.0844568, 0.413725
0.121994, 0.894934, 0.202543, 0.0848595, 0.415428
0.0955576, 0.875315, 0.202543, 0.0820732, 0.43571
0.0627016, 0.879897, 0.202337, 0.0842772, 0.398017
0.116529, 0.874623, 0.200675, 0.0781128, 0.412181
0.0876914, 0.885012, 0.195643, 0.075986, 0.377345
0.12684, 0.888921, 0.195586, 0.0788568, 0.339966
0.0938678, 0.894408, 0.189966, 0.0819966, 0.338201
0.132041, 0.84736, 0.189966, 0.0803248, 0.351849
0.0959896, 0.881201, 0.189015, 0.0811498, 0.267133
0.0974925, 0.890163, 0.177758, 0.0799237, 0.201416
0.122162, 0.920496, 0.177758, 0.0828325, 0.200323
0.0203739, 0.906118, 0.176103, 0.078783, 0.166517
0.0980241, 0.892025, 0.176103, 0.0768352, 0.13698
0.0843022, 0.892693, 0.171021, 0.0772015, 0.0838106
0.0971096, 0.915222, 0.173661, 0.0799806, 0.0804467
0.0511514, 0.902631, 0.169074, 0.0787578, 0.0733356
0.0724622, 0.919359, 0.172711, 0.0806187, 0.0248432
0.0224011, 0.896603, 0.167112, 0.0808131, 0.0172507
0.0339552, 0.924944, 0.162405, 0.0745114, 0.0164183
0.137699, 0.949786, 0.171026, 0.0733642, 0.00700207
0.0397193, 0.923436, 0.16853, 0.0744797, -0.0369253
