E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.0707358, 0.13044, 1, 0.58459, 0.94302
0.0548446, 0.161602, 0.935646, 0.419981, 0.907605
0.0451886, 0.139324, 0.670531, 0.304338, 0.820337
0.0534735, 0.165698, 0.458034, 0.240839, 0.708493
0.0579344, 0.137826, 0.356717, 0.208513, 0.640449
0.0468121, 0.234379, 0.304953, 0.187051, 0.644038
0.0530721, 0.237234, 0.280392, 0.177574, 0.617259
0.0422779, 0.293892, 0.262911, 0.176415, 0.543317
0.0561425, 0.40729, 0.242599, 0.160132, 0.563029
0.0582769, 0.516723, 0.242599, 0.161657, 0.563747
0.0769462, 0.550959, 0.230798, 0.154687, 0.555625
0.066095, 0.616005, 0.229199, 0.151504, 0.564671
0.0581475, 0.603795, 0.229199, 0.143744, 0.53331
0.0648836, 0.632694, 0.21774, 0.137058, 0.49979
0.0650755, 0.661822, 0.216826, 0.133961, 0.515026
0.0591315, 0.723511, 0.216826, 0.124384, 0.49753
0.0961094, 0.75971, 0.216826, 0.116188, 0.505708
0.114894, 0.75249, 0.216826, 0.111433, 0.467789
0.093719, 0.746173, 0.215825, 0.114511, 0.449593
0.0801499, 0.734332, 0.203433, 0.107748, 0.450529
0.089057, 0.762913, 0.203433, 0.103954, 0.42547
0.0961537, 0.746831, 0.203433, 0.103876, 0.426
0.0914493, 0.768969, 0.203433, 0.10351, 0.426516
0.0873313, 0.791543, 0.201886, 0.101182, 0.432038
0.106404, 0.797719, 0.201886, 0.101821, 0.441345
0.111764, 0.836292, 0.201886, 0.0993401, 0.392137
0.0818109, 0.842314, 0.192715, 0.0961321, 0.34478
0.098203, 0.823208, 0.192715, 0.0918542, 0.369034
0.119593, 0.84026, 0.192819, 0.0972185, 0.367524
0.0968019, 0.857852, 0.192819, 0.0978416, 0.364321
0.0962012, 0.861175, 0.192819, 0.0953364, 0.374236
0.111554, 0.833425, 0.192819, 0.0948532, 0.353362
0.10704, 0.841894, 0.192819, 0.0965961, 0.364968
0.0778536, 0.847804, 0.192819, 0.0960522, 0.350366
0.121794, 0.86856, 0.190093, 0.0906358, 0.352793
0.104867, 0.84336, 0.186411, 0.0891421, 0.358757
0.106801, 0.814057, 0.186411, 0.0877297, 0.329241
0.116906, 0.860616, 0.186651, 0.0868662, 0.304078
