the last, the last 100 averaged mu
0.102301,0.0977549
0.193586,0.182604
0.271347,0.292773
0.259619,0.24827
0.322511,0.310305
0.336612,0.342444
0.394451,0.370169
0.351604,0.291193
0.302067,0.241751
0.0853287,0.0369343
0.116919,0.134456
0.079215,0.0888105
-0.034184,-0.00209299
-0.00514523,-0.0198719
0.0535165,0.0595452
0.0178889,0.0315251
0.101606,0.152112
0.147589,0.152144
0.0963435,0.113744
0.145673,0.136267
-0.0256565,0.00933609
-0.0724497,-0.023058
-0.077043,-0.0205516
-0.00698084,0.0119469
0.0474667,0.00461198
0.168204,0.0972885
0.112007,0.027277
0.217621,0.155925
0.072273,0.0236886
0.0965127,0.0664023
0.277228,0.26742
0.323393,0.282985
0.412169,0.387463
0.380896,0.334643
0.293196,0.281353
0.282788,0.289519
0.306888,0.330539
0.393396,0.413824
0.388469,0.445109
0.404368,0.458487
0.30126,0.379914
0.255695,0.293494
0.248726,0.288302
0.227327,0.270307
0.401384,0.428388
0.451161,0.482325
0.382869,0.412948
0.391719,0.388799
0.442795,0.428203
0.674114,0.637135
0.6509,0.649801
0.617438,0.627572
0.465646,0.462884
0.376029,0.403414
0.308341,0.28976
0.274817,0.265295
0.298758,0.272891
0.182349,0.165093
0.0870964,0.0596863
0.12562,0.0753078
0.190658,0.119706
0.24118,0.138386
0.108158,0.0447582
-0.00359961,-0.0533731
0.123862,0.0675127
0.0853274,0.0667088
0.0785969,0.0612176
0.0577823,-0.0211595
-0.0638851,-0.0647231
-0.0896345,-0.07759
-0.0511839,-0.0377877
0.0996705,0.0405375
0.0710616,0.0488011
0.13725,0.139023
0.0600349,0.0842715
0.218692,0.284991
0.173171,0.238964
0.256147,0.342424
0.290712,0.301187
0.195951,0.250416
0.188318,0.232873
0.115952,0.164898
0.0979818,0.0946726
0.135748,0.131824
0.126534,0.106589
0.130052,0.145667
0.273461,0.366334
0.279907,0.343723
0.111397,0.211177
0.194769,0.250622
0.0589299,0.107892
0.0192875,0.0850831
-0.0424505,0.0237016
0.0973492,0.146603
0.0869313,0.157484
0.211424,0.237662
0.316798,0.323218
0.416352,0.409288
0.379046,0.386737
0.295057,0.297241
0.239341,0.222551
0.209077,0.171985
0.275982,0.224406
0.231927,0.204388
0.199383,0.212431
0.173729,0.189532
0.124517,0.1553
0.120294,0.123297
0.0491583,0.07709
-0.0296049,0.0002841
0.0340142,0.0504434
0.162858,0.205243
0.0824022,0.112346
-0.0343453,-0.00763672
-0.109798,-0.0867749
-0.166341,-0.120439
-0.0894097,-0.0197953
-0.127273,-0.101792
0.00232935,0.0217112
-0.0414494,-0.0547237
-0.167083,-0.167735
-0.0994378,-0.137233
-0.0453765,-0.0332019
-0.135385,-0.111485
-0.104337,-0.102833
-0.029305,-0.0371093
0.0736834,0.0770092
0.0694116,0.116254
0.272381,0.295711
0.342222,0.333465
0.358619,0.342768
0.240218,0.237649
0.232264,0.234114
0.153146,0.159455
0.212779,0.199359
0.213531,0.218652
0.197456,0.208034
0.249911,0.217075
0.20415,0.19442
0.164491,0.150109
0.16844,0.184309
0.143656,0.094721
0.0850219,0.0171801
-0.0421482,-0.0857902
0.178802,0.170516
0.2603,0.275614
0.288359,0.291569
0.135578,0.178864
-0.0347664,0.0179598
-0.0818561,-0.0887386
0.0510287,0.0603621
0.166779,0.199632
0.203219,0.235392
0.211873,0.23913
0.302752,0.302586
0.32191,0.374542
0.460241,0.505819
0.372611,0.476541
0.281227,0.392093
0.370394,0.436225
0.319943,0.362116
0.300319,0.306862
0.287049,0.324461
0.245055,0.279413
0.26323,0.266749
0.261087,0.266853
0.385187,0.391775
0.357551,0.345515
0.250626,0.251358
0.325573,0.312622
0.308328,0.306595
0.0944541,0.0923323
0.327306,0.31698
0.377532,0.31964
0.42275,0.375253
0.216557,0.206257
0.175062,0.158536
0.122737,0.0881444
0.220262,0.162875
0.0833159,0.0342756
0.04361,0.023807
-0.084375,-0.0920541
-0.0561944,-0.0953388
-0.1127,-0.129822
-0.210005,-0.19862
-0.193113,-0.210874
-0.234056,-0.251483
-0.189586,-0.207056
-0.357139,-0.308143
-0.365452,-0.319914
-0.488653,-0.476564
-0.318664,-0.345202
-0.390068,-0.470259
-0.335143,-0.399201
-0.200324,-0.235695
-0.187858,-0.20942
-0.289788,-0.300534
-0.36065,-0.399088
-0.383532,-0.390839
-0.211567,-0.195899
-0.213797,-0.216896
-0.0462955,-0.102688
-0.111053,-0.108433
-0.249976,-0.254574
-0.259169,-0.265169
-0.226498,-0.209019
-0.175998,-0.231139
-0.278325,-0.351401
-0.278997,-0.365466
-0.198277,-0.285818
-0.247723,-0.224695
-0.132807,-0.127209
-0.171318,-0.149214
-0.0841083,-0.0587814
-0.0554147,-0.0585377
-0.126142,-0.152419
-0.0828811,-0.119937
-0.0162827,-0.0170624
-0.117376,-0.089972
-0.0249567,-0.0314642
-0.0209407,-0.00441665
0.125583,0.120598
0.0480697,0.0378997
0.0438901,0.00129067
-0.103465,-0.104123
-0.0933754,-0.11126
-0.178846,-0.155281
-0.149388,-0.108235
-0.227794,-0.21695
-0.154666,-0.121263
-0.252586,-0.222454
-0.159526,-0.145221
-0.0907986,-0.0719422
0.0446437,0.0943284
-0.00349817,0.0452031
0.0721516,0.0606458
0.0588619,0.0691692
-0.0227465,-0.013909
-0.0364489,0.00272673
-0.171101,-0.123818
-0.0518823,-0.0313577
-0.0287082,-0.00894514
-0.00452999,-0.0393579
0.0994343,0.0865104
0.183996,0.20963
0.200695,0.187489
0.200341,0.154816
0.145559,0.0887855
0.0706045,0.0401975
0.155751,0.131264
0.05079,0.0661821
0.0508508,0.0965321
0.0520166,0.122128
-0.0232791,0.0697227
0.239213,0.29289
0.0920458,0.102591
0.173138,0.18663
0.026813,0.0557189
-0.0674731,-0.0256019
-0.0340731,0.0330986
0.0173149,0.0712905
0.11288,0.107861
0.196652,0.222405
0.199281,0.270102
0.305116,0.326134
0.402916,0.33569
0.508931,0.432055
0.660836,0.622172
0.474452,0.497134
0.412166,0.443477
0.410767,0.461411
0.272419,0.27517
0.293698,0.287434
0.413786,0.400659
0.384767,0.342652
0.363052,0.397728
0.339299,0.365006
0.345365,0.35861
0.330312,0.287298
0.292184,0.234491
0.204015,0.207482
0.141576,0.113127
0.0423099,0.018634
0.0673773,0.0706093
-0.15148,-0.125043
-0.0279986,-0.0352631
-0.00129387,-0.0172586
0.112984,0.0984733
0.124562,0.0731194
0.154869,0.125402
0.196277,0.14107
0.255783,0.206858
0.224567,0.163765
0.135519,0.103458
0.0488662,0.067246
-0.0543954,-0.0296606
-0.155537,-0.135014
-0.0922498,-0.0902472
-0.0642233,-0.0526496
-0.0667681,0.00375488
0.0143921,0.118714
-0.0138826,0.0844741
0.133624,0.167773
0.194563,0.238379
0.278537,0.28417
0.372537,0.395282
0.287591,0.311307
0.267154,0.272272
0.286802,0.333495
0.30532,0.359539
0.429494,0.489351
0.495858,0.514102
0.447666,0.488884
0.420076,0.456469
0.32892,0.352992
0.327598,0.374726
0.273085,0.290192
0.146718,0.191474
0.123741,0.206559
0.333169,0.3704
0.400362,0.389723
0.389333,0.421185
0.213319,0.291149
0.16403,0.184881
0.210365,0.221727
0.185647,0.184014
0.0866266,0.0669469
0.16448,0.145196
0.117455,0.130389
0.0299774,0.0348962
0.108681,0.0700346
0.128091,0.132447
0.125777,0.135034
0.0832844,0.08091
0.111067,0.108316
0.0887803,0.0795019
0.0492975,-0.00856048
-0.0219202,-0.056405
0.00498717,0.0104092
0.0997078,0.0622941
0.105411,0.0182518
-0.133717,-0.176874
0.00578821,-0.0462959
-0.0653881,-0.0651063
0.00116526,0.00980755
-0.119116,-0.0629033
-0.0343867,-0.0113506
0.017116,0.0243644
0.105748,0.0692417
0.147759,0.110789
0.175259,0.146226
0.128675,0.149517
0.0703521,0.0524388
-0.112754,-0.15389
0.0196108,-0.00152266
-0.0906436,-0.106829
-0.00363287,-0.0524802
0.119377,0.108362
0.0916762,0.114583
-0.0210037,0.0176407
0.05855,0.0949925
-0.0613887,0.00781091
0.0412143,0.0455769
-0.0557852,-0.0403875
0.0231727,0.0478517
0.187321,0.169712
0.231825,0.278499
0.168721,0.185239
0.245276,0.243838
0.287077,0.285237
0.278304,0.291591
0.107895,0.114953
0.1534,0.148376
0.208098,0.198129
0.139949,0.154316
-0.0416921,0.00324501
-0.057085,-0.0186788
-0.106216,-0.119391
-0.187105,-0.171069
-0.155994,-0.185395
-0.0289001,-0.0765464
0.0328965,-0.012095
0.0918315,0.0691505
0.026168,0.0228913
0.0859227,0.0720913
0.0436796,0.0345222
0.0513909,0.0340613
-0.120026,-0.127592
-0.198511,-0.153991
-0.221087,-0.203876
-0.186584,-0.214488
-0.0974224,-0.12318
-0.190025,-0.209104
-0.174766,-0.173596
-0.231562,-0.213885
-0.0924703,-0.117873
-0.110019,-0.101079
0.00312188,0.013427
0.0438887,0.0789493
0.0766114,0.10656
0.0935356,0.102823
0.130255,0.144549
0.175807,0.198638
0.174898,0.184694
0.0849531,0.0849701
0.197395,0.184474
0.0680853,0.0336569
0.0447895,0.0271842
0.171593,0.0905897
0.150999,0.0909583
0.0655501,0.0364499
-0.012264,-0.0441273
0.141502,0.0634527
0.204898,0.154319
0.244661,0.191737
0.0703193,0.111544
0.0676049,0.0876628
0.181228,0.159478
0.166752,0.112437
0.238307,0.255026
0.383942,0.389666
0.397074,0.375576
0.352699,0.362225
0.292546,0.300707
0.295199,0.264144
0.283418,0.315258
0.247126,0.262618
0.291182,0.316003
0.254412,0.312797
0.303232,0.329731
0.209007,0.233539
0.045089,0.0682836
0.0418485,0.053999
0.0418599,0.000483549
0.0811219,0.0117396
0.135571,0.0887433
0.137646,0.0949449
0.0512708,-0.00108752
0.0534276,0.0275389
0.0657239,0.0638978
0.00730981,0.0313059
0.00436938,0.0579522
-0.0339056,-6.97377e-05
-0.0888647,-0.0584593
-0.0265058,0.0295274
-0.158474,-0.108257
-0.0460101,-0.0289532
-0.0963521,-0.0135284
-0.202429,-0.095281
-0.134912,-0.0600156
0.0582183,0.107504
0.107673,0.113702
0.137719,0.148125
0.167412,0.120369
0.217981,0.211168
0.180209,0.142924
0.119569,0.0619408
0.0265794,0.027853
0.150687,0.191527
0.160357,0.226963
0.0716005,0.102889
0.0880632,0.109595
0.098362,0.121808
-0.00674598,-0.00327608
0.0135367,0.0122267
0.0505138,0.0522383
-0.123214,-0.122266
-0.168254,-0.161703
-0.0724086,-0.0908419
0.114935,0.0399944
0.108389,0.0591117
0.114789,0.0457663
0.0621161,0.113773
-0.0163328,0.0341878
-0.109674,-0.0763264
-0.223978,-0.243305
-0.140877,-0.165066
-0.195963,-0.292301
-0.193157,-0.275931
-0.312871,-0.311253
-0.278292,-0.349348
-0.323165,-0.30848
-0.305587,-0.32179
-0.304586,-0.265494
-0.353794,-0.32313
-0.216729,-0.218956
-0.193409,-0.179914
-0.168743,-0.126143
-0.0680913,-0.0888418
-0.159974,-0.170767
-0.0760142,-0.0646711
0.0763896,0.0826942
0.112804,0.110087
0.230298,0.242665
-0.0125101,0.0436483
-0.137785,-0.0585713
-0.122688,0.00329308
-0.0518056,0.0339551
-0.0771757,-0.00223502
-0.0247953,0.00978124
-0.019763,-0.00205968
-0.0321204,-0.0319169
-0.117105,-0.0885236
-0.263513,-0.227242
-0.248917,-0.209654
-0.382435,-0.308948
-0.57508,-0.491931
-0.542479,-0.441778
-0.546039,-0.47529
-0.384667,-0.396214
-0.47357,-0.491885
-0.524866,-0.539204
-0.443878,-0.487827
-0.313359,-0.342855
-0.318899,-0.301879
-0.30515,-0.297203
-0.292018,-0.323726
-0.213864,-0.302341
-0.214216,-0.234875
-0.122306,-0.150556
-0.27195,-0.328372
-0.307147,-0.332108
-0.378103,-0.416358
-0.363219,-0.445482
-0.263268,-0.360941
-0.345725,-0.445671
-0.339736,-0.418888
-0.354906,-0.424934
-0.349784,-0.371885
-0.262476,-0.276419
-0.362499,-0.34827
-0.419284,-0.44316
-0.313633,-0.37399
-0.28773,-0.294192
-0.304282,-0.315818
-0.248718,-0.283986
-0.22771,-0.190705
-0.34255,-0.281026
-0.385103,-0.386852
-0.385412,-0.433756
-0.452922,-0.418566
-0.473857,-0.452125
-0.452782,-0.371652
-0.470213,-0.470147
-0.41806,-0.414658
-0.465188,-0.414601
-0.568248,-0.510597
-0.421703,-0.368542
-0.412235,-0.35019
-0.407306,-0.359685
-0.246456,-0.205335
-0.256008,-0.242365
-0.41241,-0.353511
-0.309459,-0.269101
-0.330176,-0.294791
-0.307486,-0.267272
-0.238712,-0.203355
-0.250763,-0.24077
-0.28386,-0.264307
-0.288247,-0.217559
-0.327841,-0.262667
-0.341513,-0.287878
-0.217062,-0.218485
-0.220218,-0.227067
-0.242579,-0.241247
-0.345615,-0.305371
-0.325065,-0.310667
-0.274506,-0.225629
-0.383751,-0.353925
-0.384418,-0.368825
-0.366085,-0.370487
-0.207236,-0.163803
-0.192373,-0.124374
0.0398451,0.0946816
0.167815,0.234593
0.182017,0.214827
0.220488,0.244978
0.332633,0.347817
0.342617,0.393461
0.380369,0.397944
0.267727,0.246407
0.164895,0.204244
0.071271,0.0847808
0.195389,0.18998
0.15806,0.120071
0.257953,0.244449
0.123408,0.126675
0.0727401,0.106741
