E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.0820827, -0.117271, 1, 0.492632, 0.874144
0.0774041, 0.0706609, 0.687006, 0.286066, 0.718957
0.0867817, 0.116925, 0.40514, 0.234154, 0.51592
0.0931671, 0.117975, 0.284638, 0.208128, 0.401111
0.0939547, 0.239114, 0.223621, 0.183196, 0.423463
0.0987164, 0.340018, 0.210866, 0.180353, 0.435591
0.103424, 0.390743, 0.204671, 0.171987, 0.435416
0.0954678, 0.486788, 0.201963, 0.172145, 0.439118
0.0843697, 0.591502, 0.192083, 0.148365, 0.409014
0.0883646, 0.702606, 0.189704, 0.139467, 0.40291
0.0995594, 0.733609, 0.189704, 0.132088, 0.425518
0.0741372, 0.781828, 0.189704, 0.132656, 0.37806
0.10279, 0.753068, 0.189127, 0.126183, 0.365924
0.0835535, 0.787703, 0.187354, 0.124073, 0.304511
0.0695215, 0.800087, 0.179089, 0.115518, 0.25117
0.104998, 0.78692, 0.165706, 0.119289, 0.21207
0.0598669, 0.74281, 0.165706, 0.120646, 0.176774
0.0581834, 0.783905, 0.163694, 0.117988, 0.128176
0.0593299, 0.766451, 0.159321, 0.123943, 0.0762065
0.077338, 0.804774, 0.154758, 0.123965, 0.0517986
0.0810556, 0.779803, 0.150054, 0.119944, 0.00797598
0.0633585, 0.848577, 0.146202, 0.126173, -0.0325609
0.0728669, 0.78904, 0.144532, 0.128449, -0.0828424
0.0631502, 0.819879, 0.143129, 0.127493, -0.123654
0.102926, 0.823215, 0.140473, 0.132124, -0.186081
0.114071, 0.802481, 0.140473, 0.129309, -0.187723
0.0680754, 0.800037, 0.138908, 0.122933, -0.240755
0.10972, 0.805633, 0.138638, 0.123681, -0.272577
0.0658754, 0.780109, 0.138638, 0.130948, -0.325262
0.0805288, 0.787564, 0.134868, 0.132634, -0.357531
0.108657, 0.7977, 0.134868, 0.132138, -0.363541
0.0742303, 0.803775, 0.134868, 0.128977, -0.382525
0.1047, 0.808275, 0.134868, 0.1266, -0.442766
0.102871, 0.821335, 0.134868, 0.124403, -0.465735
0.0639381, 0.821156, 0.134868, 0.124294, -0.493545
0.0766035, 0.832143, 0.134868, 0.121395, -0.498873
0.0591766, 0.821741, 0.134868, 0.12743, -0.508606
0.0502325, 0.824291, 0.134868, 0.132685, -0.548784
0.0766321, 0.819604, 0.134868, 0.127784, -0.523486
0.067228, 0.837659, 0.134868, 0.12306, -0.5375
0.0972351, 0.840116, 0.134868, 0.122136, -0.531899
0.106581, 0.82975, 0.134868, 0.12363, -0.514136
0.0896488, 0.8492, 0.134868, 0.115183, -0.562747
0.0483601, 0.835412, 0.134868, 0.119389, -0.556112
0.0587729, 0.820936, 0.134868, 0.11965, -0.543994
0.0619232, 0.84021, 0.134868, 0.120193, -0.533312
0.0920852, 0.837805, 0.134868, 0.118833, -0.55332
0.0610843, 0.845622, 0.134868, 0.117001, -0.552725
0.0829066, 0.848281, 0.134868, 0.117713, -0.544508
0.0705125, 0.855309, 0.134868, 0.113611, -0.539222
0.0804006, 0.849472, 0.134868, 0.113186, -0.565762
0.0667743, 0.858205, 0.134868, 0.115896, -0.587714
0.070071, 0.852124, 0.134868, 0.117055, -0.569265
0.05213, 0.844432, 0.134868, 0.117302, -0.558126
0.0762152, 0.872758, 0.134868, 0.114686, -0.588072
0.0503385, 0.852214, 0.134868, 0.115511, -0.551558
0.0676441, 0.856897, 0.134868, 0.119086, -0.566184
0.0994285, 0.848314, 0.134868, 0.118059, -0.552681
0.0576194, 0.856149, 0.134868, 0.116944, -0.551666
0.0926351, 0.857931, 0.134868, 0.119019, -0.550657
0.0532766, 0.858926, 0.134868, 0.115514, -0.561697
0.0661596, 0.851964, 0.134868, 0.116084, -0.56808
0.0606027, 0.834684, 0.134868, 0.111327, -0.585924
0.107734, 0.841685, 0.134868, 0.114703, -0.593509
0.0864928, 0.817874, 0.134868, 0.115082, -0.604344
0.0629703, 0.853715, 0.134868, 0.119424, -0.608852
0.0714253, 0.828574, 0.134868, 0.120914, -0.649815
0.0664085, 0.837474, 0.134868, 0.124845, -0.620813
0.0925725, 0.830479, 0.134868, 0.121766, -0.603752
0.112638, 0.820629, 0.134868, 0.126483, -0.588666
0.065584, 0.830458, 0.134868, 0.121574, -0.625372
0.0763506, 0.840867, 0.134868, 0.122413, -0.622477
0.0786156, 0.873877, 0.134868, 0.118286, -0.645376
0.0342895, 0.851046, 0.134868, 0.115744, -0.659801
0.0565521, 0.845796, 0.134868, 0.113845, -0.659086
0.0536669, 0.858908, 0.134868, 0.115194, -0.655625
0.0965485, 0.861058, 0.134868, 0.117019, -0.649772
0.0647823, 0.871294, 0.134868, 0.115553, -0.64211
0.116153, 0.846638, 0.134868, 0.111492, -0.65315
0.113132, 0.863666, 0.134868, 0.112152, -0.668928
0.0471986, 0.904487, 0.134868, 0.108332, -0.676173
0.107829, 0.892651, 0.134868, 0.103225, -0.670135
0.0663587, 0.878271, 0.134868, 0.102189, -0.675297
0.0842393, 0.92243, 0.134868, 0.101255, -0.670461
0.060267, 0.891427, 0.134868, 0.0992259, -0.676737
0.0649245, 0.911836, 0.134868, 0.098815, -0.665273
0.0220575, 0.907101, 0.134868, 0.100051, -0.67436
0.11784, 0.892476, 0.134868, 0.0997886, -0.681612
0.092336, 0.875902, 0.134868, 0.104192, -0.678854
0.0763019, 0.879847, 0.134868, 0.106335, -0.691827
0.0708152, 0.881493, 0.134868, 0.106155, -0.692906
0.0588341, 0.879132, 0.134868, 0.107283, -0.698619
0.0805512, 0.877957, 0.134868, 0.105659, -0.683428
0.0691767, 0.872459, 0.134868, 0.105255, -0.691764
0.0574421, 0.8506, 0.134868, 0.106685, -0.699592
0.0674801, 0.874295, 0.134868, 0.110565, -0.690644
0.0481686, 0.878456, 0.134868, 0.107005, -0.710969
0.0804964, 0.898692, 0.134868, 0.108593, -0.701248
0.086084, 0.881484, 0.134868, 0.112191, -0.711602
0.087451, 0.86215, 0.134868, 0.104883, -0.743687
0.0809364, 0.880767, 0.134868, 0.109784, -0.733123
0.118134, 0.869649, 0.134868, 0.108183, -0.749219
0.0922435, 0.871302, 0.134868, 0.111049, -0.749538
0.0766227, 0.868471, 0.134868, 0.111113, -0.72632
0.0615642, 0.860536, 0.134868, 0.112062, -0.735024
0.118658, 0.860576, 0.134868, 0.113952, -0.719972
0.110331, 0.860947, 0.134868, 0.113405, -0.718975
0.107243, 0.868109, 0.134868, 0.111424, -0.749251
0.101796, 0.870133, 0.134868, 0.107685, -0.73985
0.118294, 0.863812, 0.134868, 0.10299, -0.711362
0.124136, 0.903915, 0.134868, 0.101641, -0.723351
0.133732, 0.880855, 0.134868, 0.10179, -0.732034
0.136431, 0.896116, 0.134868, 0.102536, -0.736477
0.109113, 0.885202, 0.134868, 0.103959, -0.740853
0.111189, 0.881446, 0.134868, 0.105254, -0.745399
0.127807, 0.872786, 0.134868, 0.107272, -0.736368
0.115308, 0.872277, 0.134868, 0.105197, -0.738567
0.0947906, 0.887373, 0.134868, 0.10732, -0.732896
0.124684, 0.891915, 0.134868, 0.106858, -0.727136
0.0951571, 0.872069, 0.134868, 0.109648, -0.734193
0.0970535, 0.877621, 0.134868, 0.11047, -0.723239
0.0947971, 0.901536, 0.134868, 0.109799, -0.704482
0.0997542, 0.886497, 0.134868, 0.109534, -0.70096
0.104961, 0.888399, 0.134868, 0.10744, -0.694606
0.133535, 0.880496, 0.134868, 0.108858, -0.681771
0.084444, 0.871094, 0.134868, 0.108096, -0.680601
0.0850545, 0.884784, 0.134868, 0.109021, -0.673527
0.0831865, 0.866674, 0.134868, 0.109809, -0.671672
0.0994932, 0.871678, 0.134868, 0.113751, -0.692652
0.0864494, 0.838826, 0.134868, 0.114516, -0.709763
0.0893235, 0.850915, 0.134868, 0.119238, -0.711674
0.0787155, 0.837526, 0.134868, 0.116289, -0.721316
0.0883875, 0.85093, 0.134868, 0.11337, -0.737167
0.0621479, 0.869468, 0.134868, 0.114545, -0.721862
0.0850979, 0.837969, 0.134868, 0.114248, -0.701343
0.0700889, 0.842369, 0.134868, 0.112121, -0.714716
0.0829009, 0.849293, 0.134868, 0.114339, -0.709777
0.0976481, 0.851813, 0.134868, 0.111436, -0.707842
0.111156, 0.86429, 0.134868, 0.110695, -0.714793
0.10414, 0.860612, 0.134868, 0.106824, -0.711801
0.0458733, 0.864257, 0.134868, 0.106559, -0.729893
0.109019, 0.86801, 0.134868, 0.106434, -0.73079
0.0970908, 0.852801, 0.134868, 0.107923, -0.726352
0.0601606, 0.850378, 0.134868, 0.111887, -0.728742
0.0812064, 0.86118, 0.134868, 0.115002, -0.723215
0.0762145, 0.897154, 0.134868, 0.113928, -0.725414
0.100711, 0.865885, 0.134868, 0.111868, -0.704264
0.110789, 0.852284, 0.134868, 0.110527, -0.701317
0.101589, 0.865806, 0.134868, 0.109645, -0.687653
0.126827, 0.869599, 0.134868, 0.107881, -0.694493
0.136503, 0.887797, 0.134868, 0.111096, -0.678154
0.123979, 0.888681, 0.134868, 0.107841, -0.682132
0.136358, 0.88527, 0.134868, 0.10943, -0.700304
0.127927, 0.870201, 0.134868, 0.112381, -0.710557
0.096314, 0.889219, 0.134868, 0.110536, -0.706346
0.0753393, 0.866016, 0.134868, 0.109752, -0.681026
0.0705419, 0.880742, 0.134868, 0.111649, -0.68675
0.0945334, 0.870865, 0.134868, 0.115862, -0.690992
0.0711394, 0.85181, 0.134868, 0.117224, -0.698075
0.0693409, 0.858827, 0.134868, 0.115226, -0.675459
0.0454983, 0.862143, 0.134868, 0.118025, -0.683007
0.0225824, 0.851639, 0.134868, 0.117676, -0.674523
0.0502448, 0.864699, 0.134868, 0.114819, -0.686254
0.0608152, 0.855571, 0.134868, 0.117444, -0.687007
0.0433313, 0.869498, 0.134868, 0.118934, -0.678929
0.000423661, 0.867677, 0.134868, 0.118458, -0.688336
0.0582595, 0.844584, 0.134868, 0.119964, -0.656988
0.0575506, 0.849041, 0.134868, 0.113924, -0.65634
0.0527226, 0.851248, 0.134868, 0.115333, -0.685341
0.0783812, 0.83868, 0.134868, 0.119682, -0.700506
0.0936952, 0.830174, 0.134868, 0.121245, -0.710567
0.0657564, 0.831797, 0.134868, 0.119291, -0.702264
0.0911494, 0.849198, 0.134868, 0.114887, -0.733129
0.0706513, 0.842235, 0.134868, 0.11576, -0.731661
0.0871794, 0.853726, 0.134868, 0.112949, -0.727897
0.0559007, 0.846149, 0.134868, 0.116226, -0.741806
0.0900574, 0.846846, 0.134868, 0.113949, -0.738555
0.0911722, 0.834531, 0.134868, 0.115733, -0.723648
0.090061, 0.846255, 0.134868, 0.117634, -0.736
0.074046, 0.85024, 0.134868, 0.120104, -0.713236
0.14055, 0.846829, 0.134868, 0.118898, -0.725596
0.136989, 0.844954, 0.134868, 0.120586, -0.739544
0.100392, 0.875206, 0.134868, 0.122702, -0.733589
0.0940108, 0.86972, 0.134868, 0.118209, -0.75006
0.112492, 0.850609, 0.134868, 0.117297, -0.747071
0.076474, 0.821031, 0.134868, 0.121464, -0.773241
0.0868853, 0.844815, 0.134868, 0.122285, -0.772532
0.0944988, 0.852302, 0.134868, 0.11752, -0.773682
0.0832402, 0.870512, 0.134868, 0.111804, -0.751906
0.0772765, 0.866141, 0.134868, 0.109806, -0.751475
0.091774, 0.858221, 0.134868, 0.111537, -0.75828
