the last, the last 100 averaged mu
0.131722,0.0962929
0.171932,0.169981
0.329829,0.267238
0.311557,0.248116
0.359604,0.310934
0.358739,0.345674
0.399884,0.368259
0.271821,0.297192
0.303681,0.250857
0.0805481,0.0684255
0.146236,0.145004
0.0922801,0.0976122
-0.0280649,0.0262288
-0.0129911,0.0111287
0.077929,0.0628256
0.104701,0.0390118
0.268116,0.140772
0.287439,0.143337
0.197772,0.109096
0.181413,0.127708
0.0823504,0.0295041
0.0337534,0.00354853
-0.00845477,0.0101622
0.0248299,0.0386159
0.0520261,0.0328239
0.124989,0.111573
0.0970245,0.0517445
0.216844,0.161728
0.09239,0.0623717
0.0834741,0.0896998
0.279468,0.247462
0.2411,0.261291
0.299433,0.340487
0.335136,0.306926
0.339016,0.26459
0.307972,0.27598
0.35323,0.315413
0.372283,0.380796
0.420185,0.406593
0.399204,0.419537
0.352408,0.36345
0.184819,0.28975
0.213889,0.287065
0.259806,0.276953
0.412449,0.40558
0.545199,0.458513
0.45593,0.412573
0.494942,0.397245
0.450696,0.428991
0.661979,0.594983
0.638819,0.595753
0.579577,0.570959
0.424003,0.42321
0.376092,0.36521
0.215069,0.267196
0.254455,0.245985
0.287066,0.249604
0.175433,0.160626
0.0362259,0.0728887
0.09342,0.0947163
0.123733,0.134591
0.181961,0.150138
0.0855549,0.0786364
0.0849279,0.000259273
0.0739518,0.0994183
0.0983328,0.0918515
0.00570445,0.0819957
0.0479057,0.00630303
0.000804845,-0.0294302
-0.0740422,-0.0393051
-0.0405026,-0.00773821
0.00495332,0.0603657
0.00900566,0.0751625
0.0919845,0.15269
0.0301969,0.119568
0.269978,0.286539
0.229332,0.247593
0.323661,0.326451
0.307273,0.284666
0.261405,0.230486
0.247234,0.208756
0.185296,0.147555
0.0838211,0.0844012
0.171619,0.123292
0.0877223,0.108808
0.144356,0.141843
0.367019,0.324074
0.374781,0.310762
0.245832,0.203045
0.208641,0.226205
0.102288,0.110185
0.0855794,0.0928594
-0.00384406,0.044724
