E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.161094, 0.0757052, 1, 0.572289, 0.916204
0.18996, 0.157388, 0.850131, 0.429253, 0.86749
0.192531, 0.138785, 0.60427, 0.342635, 0.791349
0.191505, 0.128124, 0.460792, 0.281596, 0.707133
0.164536, 0.211291, 0.371911, 0.240641, 0.625948
0.148753, 0.269469, 0.316609, 0.215342, 0.61694
0.130572, 0.304922, 0.28583, 0.198395, 0.638606
0.119523, 0.343276, 0.280803, 0.192144, 0.638266
0.105288, 0.382978, 0.277701, 0.181128, 0.641354
0.11145, 0.452547, 0.276897, 0.177602, 0.667045
0.109471, 0.562652, 0.276897, 0.172379, 0.716691
0.0910259, 0.565629, 0.276897, 0.159926, 0.690505
0.103952, 0.562923, 0.276897, 0.155215, 0.702595
0.107617, 0.578484, 0.276897, 0.148968, 0.701442
0.095776, 0.541457, 0.276897, 0.148588, 0.723628
0.10973, 0.62086, 0.276897, 0.140632, 0.717765
0.113628, 0.596511, 0.276897, 0.138557, 0.716682
0.0887965, 0.600558, 0.276897, 0.133956, 0.710641
0.101518, 0.620527, 0.276897, 0.138737, 0.720994
0.0941313, 0.644025, 0.276897, 0.131759, 0.72215
0.0890574, 0.640815, 0.276897, 0.125302, 0.72209
0.0852149, 0.658354, 0.276897, 0.127055, 0.738697
0.0801777, 0.664783, 0.276897, 0.123241, 0.741372
0.0868374, 0.700451, 0.276897, 0.117168, 0.763026
0.097163, 0.719734, 0.276897, 0.114364, 0.755163
0.102403, 0.716828, 0.276897, 0.116527, 0.764764
0.114425, 0.732455, 0.276897, 0.119211, 0.757381
0.104086, 0.757235, 0.276897, 0.119026, 0.746668
0.093275, 0.726446, 0.276897, 0.117607, 0.756191
0.0999119, 0.744923, 0.276897, 0.11226, 0.764477
0.0981083, 0.805701, 0.276897, 0.113017, 0.737583
0.11369, 0.781193, 0.276897, 0.110093, 0.772919
0.13558, 0.74047, 0.276897, 0.11267, 0.785528
0.122884, 0.759317, 0.276897, 0.113981, 0.788112
0.0998661, 0.747728, 0.276897, 0.115383, 0.799356
0.10684, 0.789041, 0.276897, 0.116118, 0.798502
0.0956993, 0.792136, 0.276897, 0.112343, 0.797061
0.110772, 0.811738, 0.276897, 0.110926, 0.781539
0.0917932, 0.812726, 0.276897, 0.113761, 0.766845
0.0898212, 0.827072, 0.276897, 0.113986, 0.798082
0.067626, 0.82602, 0.276897, 0.111124, 0.793016
0.114811, 0.810184, 0.276897, 0.113084, 0.82175
0.101516, 0.823017, 0.276897, 0.111459, 0.817224
0.0840442, 0.835395, 0.276897, 0.106002, 0.834439
0.103558, 0.817634, 0.276897, 0.105589, 0.839503
0.105923, 0.829446, 0.276897, 0.103341, 0.831036
0.107711, 0.842574, 0.276897, 0.103054, 0.838905
0.109441, 0.83945, 0.276897, 0.10069, 0.839147
0.114206, 0.845409, 0.276897, 0.100269, 0.841184
0.0990199, 0.858, 0.276897, 0.0957686, 0.83996
0.106477, 0.839073, 0.276897, 0.0931203, 0.858013
0.119051, 0.833332, 0.276897, 0.0935265, 0.854073
0.133097, 0.839308, 0.276897, 0.0909704, 0.8467
0.12496, 0.857101, 0.276897, 0.0894321, 0.844681
0.115446, 0.841295, 0.276897, 0.0861953, 0.847171
0.123063, 0.868629, 0.276897, 0.0885752, 0.863022
0.129247, 0.879523, 0.276897, 0.0857058, 0.850543
0.129759, 0.854363, 0.276897, 0.0847304, 0.846852
0.108544, 0.864599, 0.276897, 0.0851739, 0.837311
0.105991, 0.864607, 0.276897, 0.081063, 0.838905
0.0751402, 0.884087, 0.276897, 0.0819228, 0.820176
0.141791, 0.877147, 0.276897, 0.0837357, 0.836069
0.100707, 0.875426, 0.276897, 0.0831595, 0.83592
0.0777093, 0.879634, 0.276897, 0.0841441, 0.854218
0.105986, 0.882023, 0.276897, 0.086852, 0.841943
0.0883944, 0.895111, 0.276897, 0.0861017, 0.834311
0.14402, 0.896457, 0.276897, 0.087465, 0.826732
0.101585, 0.914881, 0.276897, 0.0856748, 0.806837
0.0988855, 0.898463, 0.276897, 0.0847416, 0.807251
0.0723494, 0.881676, 0.276897, 0.0826007, 0.835936
0.0665567, 0.891576, 0.276897, 0.0821774, 0.820536
0.0686814, 0.876444, 0.276897, 0.0812531, 0.821194
0.070824, 0.857302, 0.276897, 0.0819914, 0.822455
0.0689178, 0.858239, 0.276897, 0.0830476, 0.835257
0.0829282, 0.857291, 0.276897, 0.0830734, 0.837591
0.0756779, 0.86151, 0.276897, 0.0793481, 0.82523
0.0743317, 0.878892, 0.276897, 0.0778758, 0.821093
0.0741774, 0.886694, 0.276897, 0.0762487, 0.820308
0.0863676, 0.891977, 0.276897, 0.0762545, 0.807424
0.0530945, 0.877894, 0.276897, 0.0751689, 0.816271
0.0714505, 0.893007, 0.276897, 0.0752533, 0.809266
0.0774661, 0.897136, 0.276897, 0.0777409, 0.815351
0.0324966, 0.90366, 0.276897, 0.0793668, 0.819572
0.0323065, 0.887396, 0.276897, 0.0768741, 0.826609
0.0471015, 0.886461, 0.276897, 0.0730552, 0.805813
0.0668155, 0.89357, 0.276897, 0.0715434, 0.806422
0.0545765, 0.882342, 0.276897, 0.0704535, 0.788347
0.0578882, 0.88609, 0.276897, 0.0690598, 0.789644
0.0804707, 0.905571, 0.276897, 0.0702776, 0.784626
0.0736693, 0.90842, 0.276897, 0.0692747, 0.771892
0.0641683, 0.911986, 0.276897, 0.0684742, 0.773677
0.0954426, 0.910084, 0.276897, 0.0697405, 0.784043
0.0843421, 0.900956, 0.276897, 0.0708345, 0.795384
0.0821016, 0.905747, 0.276897, 0.0703926, 0.793604
0.0780735, 0.900717, 0.276897, 0.0683969, 0.808731
0.0743843, 0.911425, 0.276897, 0.0719182, 0.81938
0.0468574, 0.885613, 0.276897, 0.0697569, 0.821775
0.0735224, 0.898431, 0.276897, 0.0681204, 0.805658
0.0650091, 0.905118, 0.276897, 0.0659508, 0.798861
0.0495881, 0.884318, 0.276897, 0.0677674, 0.814509
0.0744457, 0.886672, 0.276897, 0.0657485, 0.798038
0.0629361, 0.887788, 0.276897, 0.0668252, 0.805468
0.0634119, 0.884511, 0.276897, 0.0659253, 0.814663
0.0624115, 0.894123, 0.276897, 0.0681587, 0.821032
0.0562743, 0.877523, 0.276897, 0.0691279, 0.830904
0.0367354, 0.896369, 0.276897, 0.0665159, 0.845766
0.0577061, 0.906765, 0.276897, 0.0652525, 0.840038
0.0495598, 0.88508, 0.276897, 0.0657799, 0.836394
0.0622156, 0.889139, 0.276897, 0.0646543, 0.858682
0.079015, 0.888405, 0.276897, 0.0654569, 0.847773
0.0382939, 0.905328, 0.276897, 0.0633845, 0.838003
0.0678474, 0.901874, 0.276897, 0.061832, 0.823665
0.0654538, 0.899271, 0.276897, 0.0615843, 0.827073
0.0743864, 0.921988, 0.276897, 0.0637992, 0.834952
0.0712323, 0.917228, 0.276897, 0.0627415, 0.818251
0.0875994, 0.909864, 0.276897, 0.0641932, 0.833386
0.0570413, 0.895122, 0.276897, 0.0641546, 0.833782
0.0606776, 0.905282, 0.276897, 0.0667422, 0.84184
0.0596237, 0.905388, 0.276897, 0.0637316, 0.839216
0.0663463, 0.923753, 0.276897, 0.0632381, 0.859223
0.0584849, 0.922044, 0.276897, 0.063537, 0.85722
0.0439112, 0.912719, 0.276897, 0.0661434, 0.855701
0.0663422, 0.916309, 0.276897, 0.0651772, 0.851136
0.0804254, 0.914264, 0.276897, 0.0641962, 0.841674
0.0536129, 0.926409, 0.276897, 0.0655012, 0.837709
0.0411813, 0.921458, 0.276897, 0.0649962, 0.82704
0.0475, 0.929971, 0.276897, 0.0655638, 0.84635
0.0337938, 0.930532, 0.276897, 0.0664886, 0.850687
0.0190951, 0.929382, 0.276897, 0.0651927, 0.847548
0.0196769, 0.926334, 0.276897, 0.0641944, 0.838442
0.0547812, 0.904961, 0.276897, 0.0652601, 0.848534
0.0611847, 0.910098, 0.276897, 0.0650667, 0.859603
0.0624315, 0.912172, 0.276897, 0.0651181, 0.847289
0.0310071, 0.930326, 0.276897, 0.0639324, 0.846362
0.0815494, 0.911433, 0.276897, 0.0641411, 0.85055
0.0658788, 0.914561, 0.276897, 0.0641998, 0.849454
0.0503494, 0.923789, 0.276897, 0.0651208, 0.842727
0.0373293, 0.916448, 0.276897, 0.0629434, 0.837462
0.055818, 0.903358, 0.276897, 0.0625076, 0.838861
0.0646613, 0.931776, 0.276897, 0.063412, 0.832797
0.0430717, 0.922588, 0.276897, 0.0643142, 0.840979
0.0498798, 0.916705, 0.276897, 0.0647152, 0.842599
0.0754903, 0.910673, 0.276897, 0.0662869, 0.828494
0.0816144, 0.887763, 0.276897, 0.0674589, 0.834912
0.0573165, 0.905002, 0.276897, 0.0658838, 0.831978
0.0567782, 0.914455, 0.276897, 0.066286, 0.846224
0.0467883, 0.910326, 0.276897, 0.0680223, 0.843263
0.0782002, 0.901456, 0.276897, 0.0667458, 0.840501
0.0853218, 0.903692, 0.276897, 0.0692243, 0.835205
0.0374236, 0.922327, 0.276897, 0.0685282, 0.841717
0.0638255, 0.904841, 0.276897, 0.0679242, 0.843721
0.049111, 0.896525, 0.276897, 0.0693194, 0.856043
0.0580859, 0.906324, 0.276897, 0.07022, 0.862621
0.081836, 0.906209, 0.276897, 0.0688464, 0.856537
0.0788712, 0.900951, 0.276897, 0.0676084, 0.851981
0.100063, 0.910568, 0.276897, 0.0677053, 0.855772
0.0978532, 0.912787, 0.276897, 0.0679589, 0.845608
0.0961622, 0.915684, 0.276897, 0.0675909, 0.859894
0.1065, 0.923618, 0.276897, 0.0676983, 0.841513
0.094392, 0.921216, 0.276897, 0.069591, 0.86601
0.0965212, 0.920851, 0.276897, 0.069379, 0.865547
0.112032, 0.907713, 0.276897, 0.0690293, 0.860499
0.099435, 0.916461, 0.276897, 0.0681827, 0.87257
0.0851358, 0.911113, 0.276897, 0.0699403, 0.872651
0.10649, 0.924773, 0.276897, 0.0696646, 0.881511
0.10044, 0.933644, 0.276897, 0.0675618, 0.874373
0.0727914, 0.926604, 0.276897, 0.0662536, 0.870512
0.0887963, 0.933093, 0.276897, 0.0657128, 0.859499
0.0973944, 0.927775, 0.276897, 0.066587, 0.868112
0.101775, 0.924748, 0.276897, 0.0659062, 0.857066
0.0705496, 0.929663, 0.276897, 0.0663403, 0.867184
0.0837009, 0.927295, 0.276897, 0.0672541, 0.864481
0.0977358, 0.922649, 0.276897, 0.0662211, 0.857112
