E_mu, beta, sig_y, sig_mu, rho
0.1, 0.9, 0.15, 0.1, -0.5
Y , mu
0.14294, 0.393596
0.0747807, 0.575502
0.801565, 0.582459
0.534969, 0.540721
0.357371, 0.533234
0.738684, 0.352248
0.230558, 0.353678
0.0736073, 0.480877
0.488565, 0.378963
0.232922, 0.410456
0.435725, 0.473471
0.356401, 0.432158
0.453907, 0.335659
0.345184, 0.306253
0.259724, 0.184105
0.355844, 0.184528
0.261014, 0.0707423
-0.0795779, 0.16915
0.39515, -0.159642
-0.292046, -0.099867
-0.0509316, -0.0251447
-0.168533, 0.048112
0.197112, 0.0141886
0.0109186, 0.0875022
0.133755, 0.211662
0.0424741, 0.221233
0.290881, 0.160183
0.281997, 0.15674
0.165364, 0.0708672
0.224064, -0.0375216
0.152137, -0.0249717
-0.203608, 0.0337076
-0.139563, 0.0711434
-0.13273, 0.0389604
-0.169613, 0.210313
0.201285, 0.057115
-0.0639628, 0.0285682
0.0529013, 0.127953
0.147363, 0.196883
0.0918265, 0.341388
0.529669, 0.312313
0.368364, 0.256718
0.154027, 0.325937
0.2736, 0.31274
0.122844, 0.389404
0.429405, 0.476416
0.529189, 0.477261
0.508344, 0.429166
0.592582, 0.413823
0.291654, 0.376572
0.495719, 0.29234
0.428757, 0.237097
0.119797, 0.186953
-0.111758, 0.228399
0.308046, 0.27685
0.318663, 0.387477
0.605698, 0.240574
0.431065, 0.250652
0.0898067, 0.20675
0.262037, 0.171585
0.365626, 0.138349
-0.095746, 0.0861431
0.166213, 0.216498
0.286571, 0.0389675
-0.026904, 0.101679
-0.064915, 0.203259
0.103749, 0.209823
0.204458, 0.0703333
0.0260234, 0.156374
0.150042, 0.181814
0.217177, 0.066802
0.0667517, -0.00345972
-0.170568, 0.0256049
-0.0734812, 0.022641
0.140147, -0.0668703
0.364398, -0.11751
-0.383972, -0.0981127
0.0243679, -0.107453
-0.168893, 0.0430151
0.17639, -0.0409059
-0.12499, 0.0223302
-0.0435387, 0.00885443
-0.030024, 0.058516
0.00846325, 0.0614858
0.0691689, 0.158403
0.163481, 0.165626
0.306403, 0.159079
0.40518, -0.0435818
-0.430912, 0.0376753
0.172452, -0.0519318
-0.192762, -0.213833
-0.284476, 0.0203391
0.126325, 0.1576
0.29245, -0.00560882
-0.126296, -0.0149736
0.240671, -0.105306
-0.070619, -0.108141
0.18743, -0.210048
-0.20643, -0.0707113
-0.14988, 0.0922466
-0.0138513, 0.311827
0.451388, 0.168256
0.0816771, 0.235289
0.172804, 0.339137
0.281898, 0.378312
0.606405, 0.230988
0.0517662, 0.1294
0.0560907, 0.197153
0.266469, 0.157188
0.397343, 0.0190912
0.0227566, 0.0359401
0.149086, -0.092041
-0.0266932, -0.168515
-0.143786, -0.211522
-0.336874, -0.0819135
-0.149173, 0.00498225
-0.12663, -0.00356801
0.159557, -0.0131458
-0.0620189, 0.164821
0.13572, 0.0913705
0.0335955, -0.0222515
0.299073, -0.0543208
-0.111498, -0.199571
-0.0914992, -0.24469
-0.185449, -0.167667
-0.367475, -0.0630772
0.0541821, -0.16539
-0.246849, -0.0538992
-0.0821116, -0.220979
-0.354485, -0.188026
-0.1384, -0.0728821
-0.279041, 0.0469862
-0.0802009, 0.053709
0.0386448, 0.0325774
0.103696, -0.0561126
0.0378764, 0.0848329
0.0623855, -0.0126592
0.232946, 0.0857035
0.350725, 0.00604328
-0.105926, 0.271062
0.463125, 0.113848
0.0671727, 0.02793
-0.0441399, 0.142457
0.128941, 0.0840099
0.171479, -0.0454374
0.170126, -0.190384
-0.223825, -0.134126
-0.0895798, 0.0221266
0.0869093, 0.164019
0.320273, 0.189356
0.123447, 0.10043
-0.0592576, 0.247871
0.241807, 0.119818
-0.116223, 0.210702
0.0352271, 0.367954
0.422705, 0.427778
0.385113, 0.365226
0.457243, 0.364021
0.35207, 0.343414
0.167817, 0.280879
0.397996, 0.274753
0.157545, 0.26275
0.305356, 0.312387
0.239203, 0.419869
0.447174, 0.3322
0.472538, 0.11344
0.0408138, 0.0789267
0.106879, 0.0395536
-0.0635989, 0.0302824
-0.133129, 0.0439434
0.0751607, 0.0868086
0.261689, 0.0831825
-0.0290728, 0.0729261
0.00640854, 0.096492
0.141869, 0.0598552
-0.0220321, 0.14598
0.173368, 0.0176055
0.101474, -0.0292373
-0.184107, 0.151867
0.28738, -0.0633248
-0.239118, -0.0747338
-0.0457085, -0.0221731
0.126528, -0.115535
-0.140832, -0.121905
-0.332252, -0.0232768
0.10525, 0.139106
0.0728606, 0.116599
0.220082, 0.0661467
-0.0178216, 0.145561
0.333148, 0.102166
0.286454, 0.110125
0.114268, -0.00621587
-0.261046, 0.0605757
0.122367, 0.262202
0.45048, 0.114323
0.0857845, 0.134659
0.0849226, 0.0615145
0.310837, 0.0359627
-0.0549681, 0.0577085
-0.0800395, 0.138647
0.337577, -0.0413987
-0.0470654, -0.105122
-0.26303, -0.0515102
-0.29005, 0.0829229
0.0296809, 0.0684264
0.099763, -0.0113003
-0.0471519, 0.0668648
0.26456, 0.0372836
0.242824, -0.0187018
0.214727, -0.183508
-0.386187, -0.0647639
0.0697883, -0.184008
-0.293876, -0.198838
-0.187238, -0.338064
-0.197696, -0.293891
-0.364956, -0.281296
-0.245334, -0.298729
-0.37114, -0.264532
-0.117757, -0.308128
-0.456981, -0.163169
-0.24798, -0.167064
-0.246247, -0.197249
-0.170714, -0.129732
0.0915701, -0.206831
-0.335916, -0.165312
-0.288355, 0.0219794
0.0759541, 0.0535433
-0.0868651, 0.26317
0.606627, 0.0894727
0.21959, -0.0186335
-0.144541, 0.0468642
-0.0179501, 0.00580213
0.130734, 0.0564073
-0.00509412, 0.0968502
0.0310773, 0.116401
0.0548043, 0.0164468
0.0798831, -0.0307302
0.169212, -0.0962415
-0.243604, -0.167878
-0.035078, -0.183345
0.000335577, -0.540924
-0.582037, -0.420412
-0.368955, -0.550023
-0.567148, -0.445203
-0.176777, -0.398857
-0.353056, -0.563979
-0.556429, -0.551696
-0.684684, -0.426772
-0.352481, -0.303145
-0.238209, -0.377223
-0.199771, -0.317212
-0.300737, -0.26386
-0.346781, -0.214792
-0.329077, -0.193119
0.214323, -0.370246
-0.282437, -0.272847
-0.143596, -0.422335
-0.321582, -0.455871
-0.553646, -0.439721
-0.17174, -0.382974
-0.435306, -0.439357
-0.37673, -0.417968
-0.48615, -0.373454
-0.495456, -0.250046
-0.117597, -0.342884
-0.157991, -0.492965
-0.551097, -0.498229
-0.488501, -0.344049
-0.227612, -0.360614
-0.33993, -0.259582
-0.408685, -0.143054
0.00521242, -0.142264
-0.0719144, -0.335057
-0.268558, -0.470442
-0.4226, -0.540732
-0.312817, -0.529117
-0.540952, -0.33249
-0.150473, -0.426421
-0.513966, -0.283992
-0.379555, -0.274689
-0.207136, -0.452282
-0.711777, -0.342903
-0.343899, -0.232529
-0.292274, -0.325434
-0.591901, -0.162862
-0.110791, -0.245294
-0.0268866, -0.417649
-0.470009, -0.200879
-0.185037, -0.215518
-0.2903, -0.212817
-0.327489, -0.145644
-0.0821673, -0.213965
-0.175705, -0.209933
-0.316305, -0.212132
-0.1125, -0.317287
-0.19857, -0.278903
-0.37482, -0.285229
-0.161824, -0.268248
-0.146848, -0.246381
-0.075939, -0.263483
-0.264374, -0.244682
-0.430088, -0.131226
0.00682098, -0.250322
-0.316069, -0.320866
-0.347462, -0.347721
-0.703418, -0.298759
-0.197513, -0.178918
-0.466505, 0.086841
-0.107148, 0.324645
0.302941, 0.173928
0.175847, 0.201716
0.0817098, 0.389528
0.294253, 0.443574
0.393086, 0.392194
0.655291, 0.26731
0.313833, 0.168251
0.389583, 0.0619339
-0.105114, 0.147632
0.318858, 0.115967
-0.0977977, 0.180636
0.428219, 0.0251133
0.142314, 0.00293835
-0.186585, 0.335668
0.382136, 0.198556
0.436711, 0.050788
-0.0203941, 0.174674
-0.0118327, 0.132836
0.349456, -0.0546029
0.242471, -0.0304278
-0.201483, 0.197673
0.319597, 0.0560562
0.212044, 0.0480919
0.231974, -0.0843835
-0.0164871, -0.0808233
-0.146588, -0.0365024
-0.316043, 0.0684031
0.299733, -0.0431728
-0.0678129, -0.0220017
-0.121734, 0.187069
0.369954, -0.0705867
-0.0765819, -0.215007
-0.0858458, -0.260616
-0.193702, -0.194516
-0.423755, -0.0643532
0.0523507, -0.0876439
-0.192492, 0.0786665
0.360638, -0.0645073
-0.00256579, 0.0809317
0.184737, 0.133721
0.199981, 0.139211
-0.336787, 0.327689
0.329036, 0.272429
0.256654, 0.320671
0.549775, 0.219543
0.500211, 0.121126
0.0201368, 0.134281
0.0689134, 0.0564049
-0.171884, 0.268747
0.0610314, 0.302931
0.204129, 0.428123
0.336517, 0.451082
0.37326, 0.389987
0.49881, 0.273463
0.343687, 0.0920805
0.0805387, 0.0410599
0.148774, 0.0306924
0.0495381, 0.0279901
0.134944, 0.118342
-0.135708, 0.192304
0.0183683, 0.238733
0.32098, 0.342343
0.474099, 0.338216
0.284452, 0.44137
0.547139, 0.59007
0.729697, 0.416539
0.653422, 0.263707
0.412954, 0.0984534
-0.0827486, 0.226406
0.167895, 0.232018
0.08474, 0.24632
0.213037, 0.0626833
-0.0209838, 0.0835975
0.374333, -0.121592
-0.145997, -0.168458
-0.305064, 0.130833
0.0234715, 0.145834
0.222899, 0.0154458
-0.0800339, 0.0672384
0.0814123, 0.0724789
0.125176, 0.0208957
-0.133175, 0.0209398
0.0335325, 0.0561052
0.122289, 0.0642458
-0.147186, 0.101872
-0.0375806, 0.135904
0.241017, 0.156497
0.173399, 0.0779639
-0.161679, 0.20709
0.241713, 0.244146
0.484897, 0.154651
0.243702, 0.125653
0.248057, 0.0671206
0.018046, 0.233395
0.42116, 0.20254
0.279655, 0.330533
0.551417, 0.283666
0.366287, 0.195044
0.286842, 0.129264
-0.170704, 0.191641
0.147747, 0.219693
0.161122, 0.283543
0.392193, 0.171227
0.190736, 0.226004
0.290142, 0.286284
0.337291, 0.375998
0.443799, 0.521644
0.42176, 0.50113
0.708895, 0.289876
0.31619, 0.464346
0.555574, 0.389531
0.383362, 0.364319
0.301382, 0.387501
0.351588, 0.245612
0.215753, 0.360852
0.193028, 0.252445
0.171858, 0.314066
0.237922, 0.169949
-0.169889, 0.294781
0.225136, 0.382909
0.487572, 0.122023
-0.127966, 0.239089
0.151502, 0.314906
0.498512, 0.210353
0.317359, 0.0913092
0.128245, 0.168827
0.452686, 0.0200914
-0.170509, 0.115484
-0.249365, 0.115139
-0.00928674, -0.0042307
-0.0330001, 0.0762
0.329273, 0.0282205
0.0768467, -0.00437723
0.0672437, -0.0488985
0.0749901, -0.0672756
-0.165811, 0.0592253
-0.0480364, 0.0155732
0.137367, 0.188406
-0.0380541, 0.460774
0.686131, 0.324445
0.409434, 0.123054
0.0184076, 0.160429
0.342655, 0.109819
0.0583825, 0.17513
0.350689, 0.14032
0.295356, 0.086188
-0.0274369, 0.205378
0.0460164, 0.206084
0.248423, 0.0939634
0.0156984, 0.00760867
0.0459627, 0.0290981
0.124126, -0.0189706
-0.053707, 0.0118675
-0.0511702, 0.108678
-0.0190021, 0.144454
0.208008, 0.118645
0.369058, -0.048782
-0.128987, 0.0301035
0.0617351, -0.110447
-0.223748, -0.0514914
-0.139284, -0.0128384
-0.187744, 0.0921038
0.134424, 0.257196
0.307621, 0.383661
0.347378, 0.423117
0.425442, 0.404209
0.55829, 0.253872
0.325482, 0.180799
0.0344445, 0.258473
0.201949, 0.410408
0.150489, 0.448507
0.696798, 0.477225
0.375283, 0.501172
0.563585, 0.492271
0.634653, 0.328108
0.305666, 0.135547
-0.150229, 0.320715
0.508629, 0.204852
0.0204508, 0.325674
0.21023, 0.337919
0.485955, 0.230179
-0.00871024, 0.441139
0.37937, 0.457472
0.279816, 0.514754
0.606746, 0.471068
0.430077, 0.46222
0.541438, 0.387218
0.108383, 0.311143
0.220529, 0.314579
0.257084, 0.335324
0.55902, 0.246843
0.530829, 0.223196
0.193904, 0.372182
0.354754, 0.335346
0.149924, 0.254666
0.229298, 0.115521
0.00116377, 0.24846
0.482329, 0.176562
-0.0571418, 0.283387
0.0820947, 0.394923
0.381659, 0.25735
0.389012, 0.246231
0.282955, 0.125094
0.107753, 0.173536
-0.0258035, 0.145457
0.307984, 0.144589
0.267461, 0.0273601
0.0307157, 0.090893
0.10888, 0.0431808
0.17362, 0.0569863
0.017935, -0.124905
-0.19045, -0.0223663
-0.137638, 0.0750996
0.0309807, 0.134709
0.0142752, 0.14808
0.259096, 0.150101
0.172642, 0.191094
0.146359, 0.151571
0.245979, -0.0348514
-0.184953, 0.00830258
-0.166152, 0.0564734
-0.0226878, 0.0159931
0.0248418, -0.0600904
0.0211305, -0.146429
-0.0234785, -0.0986732
-0.29496, -0.140678
-0.219194, -0.200219
-0.32022, -0.215638
-0.212081, -0.252517
-0.240614, -0.158288
-0.240886, -0.0279996
0.173783, -0.221762
-0.342685, -0.086982
0.0343839, -0.0628415
0.0634594, -0.0697353
-0.125996, -0.0366408
-0.0371259, 0.0415315
-0.00608025, 0.115536
0.312252, -0.0516012
-0.0240347, -0.152747
0.0288112, -0.244917
-0.403205, -0.122693
-0.0372358, -0.127151
-0.0811089, -0.0899344
-0.115982, -0.107017
-0.453066, 0.176751
0.286083, -0.0177568
-0.144714, -0.101274
-0.200714, 0.0959162
0.254173, 0.0759731
0.280665, -0.155333
-0.0709597, -0.166754
-0.0758591, -0.223045
-0.482041, -0.111986
-0.076152, -0.101047
0.150404, -0.157382
-0.245965, -0.0398624
-0.113028, -0.10835
-0.24751, 0.203273
0.266321, 0.089496
0.109783, 0.213709
0.194032, 0.200681
0.127709, 0.158525
0.408593, 0.0282223
-0.00587097, 0.113579
0.129608, 0.107911
-0.101225, 0.137991
0.0898884, 0.188154
0.242429, 0.124813
0.121669, 0.181099
-0.017902, 0.0939509
-0.277016, 0.193991
0.249405, 0.0614528
0.161894, 0.0836322
-0.112369, 0.0110418
0.0400159, 0.0671823
0.0318354, 0.0953067
0.139716, 0.000170172
0.110312, -0.190475
-0.302266, -0.185043
-0.024466, -0.158212
-0.058789, -0.230318
-0.234361, -0.0649006
-0.0864442, 0.0338813
0.0105737, 0.170842
0.298238, 0.194254
0.478383, 0.0826655
0.16145, -0.184519
-0.223609, -0.192699
-0.132537, -0.0834098
-0.243094, 0.042548
-0.000407984, -0.0092345
-0.079452, 0.0446562
0.0109508, 0.0013748
-0.0285414, -0.0154723
0.0961714, -0.131231
-0.386218, 0.132403
0.30598, -0.0660445
-0.137762, -0.138272
-0.0934829, -0.175832
0.075747, -0.26182
-0.150203, -0.279641
-0.0836716, -0.102943
-0.0615475, 0.056007
0.392127, -0.196012
-0.34581, -0.0370829
-0.184817, 0.0983876
0.24479, 0.100985
0.125005, 0.0521879
-0.302697, 0.0539496
-0.176197, 0.0387253
0.206012, 0.00877923
-0.324035, 0.201755
0.123075, 0.204585
0.319473, 0.124165
0.051484, 0.259525
0.0895188, 0.113399
-0.0350409, 0.0644369
-0.0116852, 0.0720336
0.128353, 0.1662
0.334536, 0.115348
0.154132, 0.154938
0.143328, 0.0379851
0.14059, 0.0505206
0.141368, 0.0940724
0.119118, -0.00710834
0.0685178, -0.152237
-0.100382, -0.188189
-0.0782024, -0.291221
-0.336047, -0.102437
-0.244887, 0.0254772
0.0128867, 0.0145988
0.141998, 0.0422333
-0.172884, 0.128324
0.151211, 0.0329208
0.144799, -0.0309473
-0.200564, 0.090374
0.00466387, 0.191308
0.397705, 0.0665661
0.111603, -0.0139474
-0.0265217, 0.115937
0.192298, 0.0857971
0.177695, 0.20876
0.0630347, 0.231961
0.20406, 0.277115
0.150328, 0.339214
0.508933, 0.177187
0.452248, 0.147329
0.317625, 0.0776181
0.22275, 0.0153031
-0.0764906, 0.0560909
0.17081, -0.0369591
-0.208316, -0.0250352
0.393541, 0.0237499
0.10346, -0.0521875
0.012671, 0.0419842
0.137753, 0.047002
0.310441, -0.0185934
