E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.101988, -0.00440353, 1, 0.534737, 0.907958
0.123301, 0.0876083, 0.777267, 0.359666, 0.836134
0.112247, 0.100166, 0.518347, 0.284396, 0.713244
0.121118, 0.133536, 0.369887, 0.231708, 0.617848
0.121745, 0.199867, 0.291457, 0.200148, 0.564285
0.0975862, 0.252344, 0.253753, 0.183179, 0.543429
0.0927335, 0.32566, 0.253753, 0.183132, 0.49494
0.0983233, 0.361842, 0.228761, 0.183097, 0.492759
0.0873435, 0.399621, 0.21595, 0.170919, 0.453583
0.0855508, 0.470558, 0.211347, 0.16932, 0.439009
0.0872145, 0.522728, 0.201145, 0.161576, 0.452531
0.0815154, 0.589538, 0.201145, 0.153322, 0.421556
0.0666859, 0.583122, 0.199136, 0.153288, 0.372925
0.0521264, 0.660221, 0.191289, 0.149342, 0.361965
0.0644601, 0.665894, 0.1893, 0.147488, 0.310006
0.0860056, 0.679262, 0.181235, 0.142335, 0.306581
0.10041, 0.716253, 0.172366, 0.136413, 0.295494
0.0891821, 0.721953, 0.169017, 0.138344, 0.263989
0.107951, 0.758011, 0.160742, 0.146759, 0.173404
0.11446, 0.746832, 0.157892, 0.141041, 0.142571
0.124798, 0.684261, 0.158827, 0.142117, 0.0903523
0.100418, 0.71222, 0.160793, 0.1406, 0.0506217
0.100862, 0.754438, 0.150036, 0.140845, 0.0414453
0.105655, 0.739666, 0.135486, 0.135634, -0.0212916
0.0875648, 0.772693, 0.13902, 0.134485, -0.0596484
0.0921384, 0.767257, 0.14526, 0.129868, -0.0816827
0.0769176, 0.827065, 0.137669, 0.131614, -0.112536
0.0453236, 0.789843, 0.134605, 0.135972, -0.143823
0.0868418, 0.774819, 0.134007, 0.13966, -0.174667
0.0678959, 0.803176, 0.134007, 0.142596, -0.211603
0.0817965, 0.794099, 0.134594, 0.137677, -0.251378
0.0983955, 0.802934, 0.134594, 0.132795, -0.206577
0.085325, 0.785135, 0.129073, 0.136058, -0.252683
0.059688, 0.804546, 0.129073, 0.137798, -0.288972
0.0349541, 0.801072, 0.125441, 0.137056, -0.329732
0.0632658, 0.791694, 0.12418, 0.142234, -0.345884
0.0988708, 0.778956, 0.120529, 0.144327, -0.358774
0.0960153, 0.788905, 0.120529, 0.150802, -0.385138
0.0588103, 0.771409, 0.120529, 0.150542, -0.380165
0.0978335, 0.751606, 0.120529, 0.152775, -0.375702
0.0703882, 0.78855, 0.120529, 0.146793, -0.381211
0.0966427, 0.783763, 0.120529, 0.144313, -0.380198
0.099256, 0.774317, 0.120529, 0.141579, -0.407334
0.0949039, 0.77751, 0.120529, 0.14352, -0.416858
0.0511882, 0.785539, 0.120529, 0.145518, -0.442791
0.0721084, 0.80312, 0.120529, 0.139624, -0.497587
0.100755, 0.779439, 0.120529, 0.141601, -0.463403
0.0814195, 0.763281, 0.120529, 0.139796, -0.511334
0.0649678, 0.777274, 0.120529, 0.142906, -0.499651
0.0715539, 0.787112, 0.120529, 0.140999, -0.486413
0.0563517, 0.806849, 0.120529, 0.135434, -0.543867
0.111851, 0.807657, 0.120529, 0.138786, -0.532936
0.0328685, 0.811749, 0.120529, 0.139013, -0.56086
0.0538238, 0.799186, 0.120529, 0.134385, -0.574573
0.0906067, 0.799749, 0.120529, 0.131415, -0.56563
0.0628979, 0.812835, 0.120529, 0.129028, -0.576381
0.0925389, 0.802006, 0.120529, 0.1287, -0.590624
0.0524878, 0.822461, 0.120529, 0.131795, -0.626692
0.0730653, 0.815276, 0.120529, 0.128463, -0.644615
0.0951619, 0.831741, 0.120529, 0.129685, -0.657581
0.0843306, 0.836495, 0.120529, 0.126404, -0.691915
0.0543035, 0.818555, 0.120529, 0.126947, -0.696696
0.0675067, 0.827709, 0.120529, 0.126164, -0.736945
0.0803292, 0.827242, 0.120529, 0.129179, -0.72206
0.073673, 0.811676, 0.120529, 0.131562, -0.709089
0.0687593, 0.809218, 0.120529, 0.128583, -0.694426
0.0747269, 0.812988, 0.120529, 0.132571, -0.713492
0.0716588, 0.830863, 0.120529, 0.132064, -0.73017
0.124467, 0.835581, 0.120529, 0.131129, -0.723069
0.07099, 0.823313, 0.120529, 0.129186, -0.732536
0.104554, 0.851539, 0.120529, 0.129863, -0.725557
0.0962475, 0.842463, 0.120529, 0.126638, -0.734623
0.106419, 0.840884, 0.120529, 0.125537, -0.713451
0.0927671, 0.82647, 0.120529, 0.12455, -0.736588
0.100717, 0.816281, 0.120529, 0.125781, -0.736929
0.0910262, 0.841146, 0.120529, 0.126714, -0.733442
0.0914039, 0.846545, 0.120529, 0.127053, -0.758141
0.118443, 0.828153, 0.120529, 0.12671, -0.754177
0.0753528, 0.83083, 0.120529, 0.127408, -0.774083
0.0821936, 0.833634, 0.120529, 0.132148, -0.78907
0.0723085, 0.825951, 0.120529, 0.133159, -0.786208
0.0628739, 0.820589, 0.120529, 0.135181, -0.782945
0.0777553, 0.824314, 0.120529, 0.135825, -0.775269
0.0979041, 0.840805, 0.120529, 0.135547, -0.77628
0.0690349, 0.814301, 0.120529, 0.133162, -0.752899
0.0949075, 0.83819, 0.120529, 0.133556, -0.765495
0.0880747, 0.799648, 0.120529, 0.135269, -0.76128
0.0910368, 0.824104, 0.120529, 0.132494, -0.759407
0.0495424, 0.839624, 0.120529, 0.129329, -0.776086
0.0831564, 0.846664, 0.120529, 0.126907, -0.74357
0.0873015, 0.861654, 0.120529, 0.125871, -0.737525
0.0713911, 0.84107, 0.120529, 0.123172, -0.744238
0.0797786, 0.851613, 0.120529, 0.127397, -0.744566
0.0781939, 0.843678, 0.120529, 0.127321, -0.771701
0.073952, 0.852289, 0.120529, 0.127181, -0.766779
0.0378148, 0.872786, 0.120529, 0.123279, -0.758281
0.0393313, 0.877444, 0.120529, 0.118978, -0.776882
0.0320847, 0.888149, 0.120529, 0.11724, -0.786118
0.0581715, 0.865401, 0.120529, 0.117258, -0.752973
0.0544741, 0.86678, 0.120529, 0.118647, -0.753272
0.0291691, 0.860298, 0.120529, 0.119626, -0.793625
0.0513474, 0.86963, 0.120529, 0.119681, -0.803476
0.0606753, 0.855754, 0.120529, 0.120114, -0.794417
0.0367921, 0.875242, 0.120529, 0.121867, -0.782944
0.0324742, 0.883676, 0.120529, 0.122426, -0.7752
0.0185368, 0.850908, 0.120529, 0.122696, -0.777815
0.0434963, 0.845143, 0.120529, 0.126077, -0.801541
0.0362634, 0.836576, 0.120529, 0.124806, -0.7937
0.0452555, 0.865762, 0.120529, 0.125779, -0.79755
0.0732547, 0.846294, 0.120529, 0.12595, -0.787327
0.0934169, 0.83416, 0.120529, 0.127952, -0.792497
0.0594303, 0.85766, 0.120529, 0.127471, -0.804217
0.0658536, 0.833402, 0.120529, 0.127428, -0.801723
0.066962, 0.866664, 0.120529, 0.129199, -0.791443
0.129583, 0.852827, 0.120529, 0.12897, -0.791949
0.0653552, 0.832947, 0.120529, 0.129261, -0.777056
0.0382271, 0.827698, 0.120529, 0.128639, -0.765525
0.0634633, 0.830445, 0.120529, 0.128347, -0.761083
0.0360826, 0.851378, 0.120529, 0.124855, -0.756267
0.0711707, 0.868784, 0.120529, 0.121109, -0.734911
0.0730838, 0.840969, 0.120529, 0.124329, -0.733919
0.0907957, 0.871221, 0.120529, 0.123853, -0.70861
0.102519, 0.866764, 0.120529, 0.123236, -0.708044
0.104737, 0.857961, 0.120529, 0.124698, -0.721763
0.123613, 0.868129, 0.120529, 0.124513, -0.729056
0.104127, 0.84243, 0.120529, 0.126401, -0.706198
0.102212, 0.841216, 0.120529, 0.129297, -0.70408
0.0816425, 0.851189, 0.120529, 0.127673, -0.690062
0.0875332, 0.814083, 0.120529, 0.127281, -0.725844
0.0750989, 0.816452, 0.120529, 0.133027, -0.7306
0.0698206, 0.79918, 0.120529, 0.132162, -0.731858
0.0742656, 0.815238, 0.120529, 0.130667, -0.731451
0.0629344, 0.828977, 0.120529, 0.129641, -0.734128
0.0782162, 0.831681, 0.120529, 0.126687, -0.743664
0.0792792, 0.819766, 0.120529, 0.126731, -0.747246
0.0813725, 0.818193, 0.120529, 0.12945, -0.753318
0.0911135, 0.823402, 0.120529, 0.128858, -0.762207
0.0599832, 0.826547, 0.120529, 0.130382, -0.744218
0.0809056, 0.846727, 0.120529, 0.134602, -0.711077
0.102145, 0.831552, 0.120529, 0.128705, -0.696118
0.0879584, 0.839259, 0.120529, 0.129337, -0.715504
0.104877, 0.855361, 0.120529, 0.135245, -0.689717
0.0637975, 0.838931, 0.120529, 0.132988, -0.683527
0.0777369, 0.843542, 0.120529, 0.131808, -0.691575
0.0678264, 0.85689, 0.120529, 0.128402, -0.699319
0.116804, 0.84417, 0.120529, 0.130833, -0.716184
0.0650614, 0.814835, 0.120529, 0.129055, -0.732707
0.087167, 0.826966, 0.120529, 0.130481, -0.749919
0.0578546, 0.801565, 0.120529, 0.13154, -0.769255
0.0921107, 0.796499, 0.120529, 0.133682, -0.762652
0.0868638, 0.820049, 0.120529, 0.129608, -0.761824
0.0902882, 0.861214, 0.120529, 0.129271, -0.771301
0.112509, 0.859884, 0.120529, 0.12678, -0.747357
0.137259, 0.856502, 0.120529, 0.124972, -0.75095
0.128183, 0.856038, 0.120529, 0.123826, -0.746117
0.102042, 0.86458, 0.120529, 0.124688, -0.720636
0.0787829, 0.849377, 0.120529, 0.125737, -0.697183
0.0824273, 0.830211, 0.120529, 0.124965, -0.684427
0.0457471, 0.847545, 0.120529, 0.130245, -0.720091
0.0509841, 0.846644, 0.120529, 0.12626, -0.724697
0.0677207, 0.821961, 0.120529, 0.131783, -0.729771
0.0755381, 0.835613, 0.120529, 0.128377, -0.731078
0.0580972, 0.833076, 0.120529, 0.127476, -0.717378
0.0913711, 0.823494, 0.120529, 0.12842, -0.704636
0.0593048, 0.824076, 0.120529, 0.129892, -0.700428
0.0974589, 0.822541, 0.120529, 0.128486, -0.731483
0.0896917, 0.836784, 0.120529, 0.129409, -0.727117
0.0892351, 0.831729, 0.120529, 0.128106, -0.736509
0.0917509, 0.872517, 0.120529, 0.127744, -0.720604
0.0547231, 0.861099, 0.120529, 0.125835, -0.705467
0.124173, 0.83835, 0.120529, 0.123873, -0.715064
0.08709, 0.850618, 0.120529, 0.12223, -0.692925
0.0864638, 0.847817, 0.120529, 0.127152, -0.650996
0.112528, 0.830005, 0.120529, 0.126353, -0.635257
0.0601124, 0.850523, 0.120529, 0.122061, -0.644502
0.0736768, 0.819863, 0.120529, 0.128441, -0.653573
0.105212, 0.853266, 0.120529, 0.127757, -0.646433
0.0636982, 0.794205, 0.120529, 0.130162, -0.640499
0.0760993, 0.861971, 0.120529, 0.130037, -0.62777
0.085514, 0.832663, 0.120529, 0.130643, -0.634363
0.0785607, 0.804532, 0.120529, 0.125474, -0.655576
0.0695333, 0.828985, 0.120529, 0.128359, -0.699583
0.1119, 0.832121, 0.120529, 0.130743, -0.704578
0.100913, 0.851371, 0.120529, 0.129679, -0.690389
0.0589152, 0.853015, 0.120529, 0.125369, -0.692443
0.0919641, 0.831828, 0.120529, 0.121055, -0.689683
0.104875, 0.841595, 0.120529, 0.123426, -0.687343
0.0999813, 0.837555, 0.120529, 0.122428, -0.70043
0.0912171, 0.845194, 0.120529, 0.125573, -0.709031
0.0557914, 0.855067, 0.120529, 0.124123, -0.731385
0.096265, 0.839194, 0.120529, 0.125648, -0.727876
0.0808756, 0.833542, 0.120529, 0.125063, -0.740297
0.0903172, 0.847243, 0.120529, 0.125136, -0.731333
0.078752, 0.84197, 0.120529, 0.125408, -0.735614
0.102583, 0.825945, 0.120529, 0.124478, -0.752302
0.0856221, 0.850586, 0.120529, 0.123885, -0.765068
0.0874267, 0.836841, 0.120529, 0.123373, -0.761576
