the last, the last 100 averaged mu
0.08269,0.0836832
0.185533,0.173227
0.272347,0.29418
0.270436,0.255126
0.294865,0.324441
0.354197,0.355491
0.395133,0.386504
0.29781,0.302051
0.289213,0.248777
0.0702343,0.0343346
0.204804,0.141332
0.16807,0.101103
0.0112945,0.0106955
0.021628,-0.0108429
0.0704899,0.0694262
-0.00559411,0.0332199
0.149426,0.152143
0.160924,0.15004
0.135356,0.107024
0.131613,0.136524
0.0793473,0.0148368
0.0144136,-0.0124257
-0.0454593,-0.0135497
-0.00179487,0.0242279
0.0420254,0.0011064
0.13486,0.105109
0.113272,0.0263676
0.151186,0.167211
0.0854612,0.028913
0.132572,0.0662305
0.271742,0.280813
0.277733,0.295386
0.422269,0.395761
0.347103,0.338186
0.324328,0.276871
0.307852,0.28017
0.369552,0.325912
0.44456,0.416296
0.490431,0.450977
0.562913,0.467209
0.415021,0.383663
0.359203,0.282991
0.321062,0.269972
0.341601,0.266173
0.43439,0.434335
0.484881,0.499484
0.441348,0.433042
0.422546,0.409198
0.412532,0.446776
0.699251,0.663459
0.65964,0.678206
0.679921,0.660579
0.543426,0.486087
0.466038,0.423603
0.327473,0.304534
0.254624,0.280657
0.265364,0.300858
0.19526,0.189824
0.0721501,0.0751899
0.126305,0.104751
0.192597,0.152046
0.207025,0.165938
0.110099,0.068703
-0.0348608,-0.0416036
0.0288189,0.0781952
0.0430877,0.0719526
0.0427904,0.0728243
-0.0309581,-0.0120948
-0.0578189,-0.0575201
-0.118125,-0.0770347
-0.0545307,-0.0388453
0.0412047,0.0405721
0.0141161,0.0509305
0.0720181,0.149944
0.00951184,0.101538
0.20297,0.313966
0.186408,0.255079
0.280222,0.351153
0.300289,0.307116
0.297817,0.258012
0.269636,0.241823
0.179565,0.162892
0.130169,0.0848019
0.182679,0.127428
0.131108,0.107374
0.140824,0.156705
0.373998,0.39353
0.310339,0.371763
0.152264,0.224075
0.132315,0.258941
0.0438593,0.114511
0.0827953,0.0937419
0.0104486,0.0231936
0.180836,0.14621
0.171618,0.145107
0.258063,0.230481
0.297355,0.322143
0.385673,0.41858
0.354228,0.396535
0.286939,0.306834
0.221792,0.238418
0.171794,0.191835
0.203052,0.247352
0.186013,0.220358
0.179602,0.211986
0.207226,0.182905
0.15887,0.142222
0.119177,0.103397
0.0950927,0.0538605
0.025105,-0.0250002
0.100981,0.02408
0.191842,0.188637
0.0699417,0.0956146
0.00077915,-0.0313363
-0.00932361,-0.113467
-0.0837058,-0.136876
-0.0510097,-0.0310617
-0.1275,-0.123174
-0.0247428,0.00125391
-0.0723321,-0.072665
-0.162151,-0.180703
-0.0757021,-0.136727
0.0890921,-0.0220213
-0.0537859,-0.0952031
-0.0476484,-0.0792804
0.0360695,-0.00816796
0.0351713,0.104013
0.111326,0.133131
0.315303,0.314361
0.330239,0.345893
0.338188,0.354131
0.251027,0.242342
0.246856,0.235615
0.203944,0.157355
0.214974,0.195204
0.181874,0.217823
0.149306,0.206037
0.218846,0.226261
0.211772,0.204866
0.184569,0.156579
0.221755,0.197071
0.0167402,0.10023
-0.0330139,0.00805264
-0.0799653,-0.108072
0.188049,0.163911
0.224733,0.272266
0.252057,0.284101
0.170556,0.167724
0.02942,-0.00430626
-0.115903,-0.115975
0.0537274,0.0389461
0.218999,0.181984
0.204374,0.224668
0.198667,0.228701
0.276002,0.293476
0.297937,0.362992
0.466581,0.50707
0.476899,0.47832
0.387185,0.390099
0.44665,0.442516
0.322278,0.370284
0.248229,0.309476
0.23981,0.322067
0.216789,0.269635
0.221887,0.24654
