E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.114023, 0.0122764, 1, 0.539032, 0.915725
0.111766, 0.111278, 0.811891, 0.3788, 0.844891
0.121224, 0.149367, 0.549938, 0.307431, 0.766086
0.111383, 0.192272, 0.416423, 0.246758, 0.673931
0.120076, 0.222298, 0.330502, 0.209368, 0.610588
0.126173, 0.275873, 0.273281, 0.184022, 0.554888
0.132684, 0.321882, 0.242338, 0.169904, 0.546688
0.109455, 0.359705, 0.233875, 0.167264, 0.552414
0.105617, 0.456156, 0.233875, 0.158762, 0.556902
0.105023, 0.46587, 0.232622, 0.158729, 0.535723
0.108402, 0.52316, 0.226812, 0.150391, 0.531877
0.0976462, 0.575687, 0.226812, 0.148473, 0.51874
0.099333, 0.62312, 0.226812, 0.143806, 0.520115
0.0789094, 0.611045, 0.211787, 0.140604, 0.466261
0.0913637, 0.630822, 0.205854, 0.1376, 0.399923
0.0839609, 0.649289, 0.196961, 0.130182, 0.391637
0.0727022, 0.715028, 0.196961, 0.127252, 0.384684
0.101376, 0.738155, 0.196961, 0.121191, 0.341086
0.0833785, 0.741466, 0.188696, 0.115497, 0.310731
0.0862596, 0.748319, 0.183179, 0.111582, 0.303269
0.0840345, 0.763679, 0.182576, 0.115005, 0.316177
0.0906074, 0.780478, 0.18188, 0.117153, 0.268347
0.0724934, 0.795119, 0.176659, 0.114986, 0.232898
0.0748259, 0.805116, 0.176659, 0.108623, 0.223246
0.0874627, 0.817314, 0.168744, 0.103407, 0.191299
0.0718834, 0.891649, 0.168744, 0.10075, 0.0928931
0.0719325, 0.834482, 0.159859, 0.0984079, 0.0709637
0.0721222, 0.869275, 0.160544, 0.0936848, 0.0139422
0.112456, 0.874518, 0.153973, 0.0902165, -0.0119129
0.0629608, 0.8788, 0.162134, 0.0880147, -0.10596
0.0401903, 0.86884, 0.156218, 0.091031, -0.126011
0.0308101, 0.895874, 0.156218, 0.0922291, -0.101404
0.0940566, 0.881668, 0.156218, 0.0930097, -0.103984
0.121392, 0.894912, 0.152462, 0.096379, -0.125169
0.0314927, 0.866068, 0.152462, 0.101285, -0.112944
0.110423, 0.862453, 0.150693, 0.100105, -0.136
0.0393173, 0.886604, 0.150693, 0.102411, -0.165119
0.0354503, 0.866894, 0.149611, 0.099421, -0.184764
0.0488415, 0.865724, 0.146145, 0.108177, -0.214786
0.093805, 0.851157, 0.146145, 0.115344, -0.247249
0.0636494, 0.868856, 0.146446, 0.114949, -0.27143
0.0617937, 0.868817, 0.146446, 0.111722, -0.263083
0.0777001, 0.823885, 0.146446, 0.111154, -0.282755
0.102713, 0.860077, 0.142418, 0.112267, -0.29967
0.112279, 0.865114, 0.142418, 0.112892, -0.266292
0.156937, 0.86666, 0.142418, 0.111954, -0.254535
0.0662933, 0.80688, 0.142418, 0.11496, -0.295826
0.0946528, 0.834567, 0.142418, 0.112223, -0.302258
0.0811253, 0.861256, 0.142418, 0.115606, -0.362199
0.0692614, 0.856136, 0.142418, 0.116515, -0.363612
0.0779203, 0.836647, 0.142418, 0.116301, -0.384381
0.0751874, 0.830507, 0.142418, 0.119917, -0.364734
0.0777087, 0.831886, 0.142418, 0.115789, -0.372051
0.0423808, 0.856801, 0.142418, 0.119604, -0.41093
0.0626438, 0.862078, 0.141907, 0.117915, -0.42708
0.0657031, 0.836442, 0.141907, 0.114972, -0.461692
0.050026, 0.834802, 0.141907, 0.117394, -0.436165
0.0823456, 0.869147, 0.141907, 0.110904, -0.416842
0.0789296, 0.863203, 0.141907, 0.111045, -0.445015
0.0817854, 0.847927, 0.141907, 0.109741, -0.457821
0.0417634, 0.88683, 0.141907, 0.107905, -0.468958
0.0756525, 0.875497, 0.141907, 0.110506, -0.473116
0.0499767, 0.856166, 0.141907, 0.11565, -0.456638
0.0726234, 0.851443, 0.141907, 0.113203, -0.46213
0.0695298, 0.869638, 0.141907, 0.112583, -0.456951
0.0769598, 0.873871, 0.141907, 0.110926, -0.444822
0.0808753, 0.834738, 0.141907, 0.109375, -0.4572
0.0403931, 0.886299, 0.141907, 0.109874, -0.484368
0.093883, 0.845242, 0.141907, 0.109205, -0.520711
0.0999723, 0.861744, 0.141907, 0.111913, -0.533121
0.0665384, 0.874894, 0.141907, 0.111825, -0.523718
0.0659341, 0.861988, 0.141907, 0.111227, -0.532525
0.07613, 0.874349, 0.141907, 0.11456, -0.539406
0.131488, 0.880386, 0.141907, 0.115047, -0.541583
0.0867044, 0.831527, 0.141907, 0.115608, -0.566399
0.0994297, 0.863627, 0.141907, 0.114008, -0.572348
0.0435802, 0.858357, 0.141907, 0.111929, -0.557643
0.0478276, 0.861079, 0.141907, 0.111533, -0.59281
0.0443031, 0.868489, 0.141907, 0.107588, -0.575357
0.0490213, 0.873757, 0.141907, 0.106593, -0.609574
0.0564804, 0.886981, 0.141907, 0.105074, -0.624967
0.110292, 0.865902, 0.141907, 0.104778, -0.637716
0.0888525, 0.883556, 0.141907, 0.101703, -0.632398
0.0534167, 0.874406, 0.141907, 0.10229, -0.631921
0.0463146, 0.889672, 0.141907, 0.101771, -0.647823
0.10897, 0.892828, 0.141907, 0.10306, -0.651331
0.0716398, 0.88309, 0.141907, 0.104836, -0.64482
0.0463506, 0.88802, 0.141907, 0.103507, -0.633501
0.0848044, 0.901781, 0.141907, 0.10558, -0.654322
0.066758, 0.900269, 0.141907, 0.103083, -0.649081
0.0786745, 0.887669, 0.141907, 0.101963, -0.671689
0.0761549, 0.888869, 0.141907, 0.103194, -0.683961
0.060778, 0.861643, 0.141907, 0.107425, -0.693509
0.0627083, 0.867132, 0.141907, 0.107697, -0.703977
0.0724864, 0.851488, 0.141907, 0.109057, -0.703608
0.0654115, 0.839555, 0.141907, 0.112086, -0.728153
0.0827948, 0.858234, 0.141907, 0.111324, -0.74264
0.0883859, 0.878718, 0.141907, 0.112125, -0.726279
0.0865233, 0.872404, 0.141907, 0.105976, -0.724834
0.0781074, 0.849397, 0.141907, 0.10643, -0.743302
0.101645, 0.856185, 0.141907, 0.107265, -0.779228
0.0740597, 0.876965, 0.141907, 0.105618, -0.768219
0.0480757, 0.870906, 0.141907, 0.105799, -0.765773
0.0727175, 0.866449, 0.141907, 0.104359, -0.762131
0.0748676, 0.862453, 0.141907, 0.101368, -0.757676
0.098716, 0.879211, 0.141907, 0.09831, -0.760037
0.0723974, 0.872762, 0.141907, 0.0963049, -0.753783
0.0826275, 0.900363, 0.141907, 0.0995439, -0.764653
0.118623, 0.881064, 0.141907, 0.0983879, -0.778898
0.089569, 0.894017, 0.141907, 0.0979151, -0.792104
0.103848, 0.897904, 0.141907, 0.0980212, -0.775651
0.0766775, 0.897343, 0.141907, 0.0999269, -0.777631
0.0936779, 0.887673, 0.141907, 0.097868, -0.780829
0.0925448, 0.908538, 0.141907, 0.0961348, -0.792133
0.0863257, 0.915005, 0.141907, 0.0961312, -0.787037
0.061673, 0.924425, 0.141907, 0.0942095, -0.79742
0.0990941, 0.905665, 0.141907, 0.0940414, -0.80801
0.0954547, 0.905763, 0.141907, 0.0957549, -0.785055
0.0791321, 0.933683, 0.141907, 0.0969019, -0.800976
0.0990093, 0.929994, 0.141907, 0.0978727, -0.795431
0.0986706, 0.911705, 0.141907, 0.0945587, -0.782588
0.125052, 0.902924, 0.141907, 0.0963782, -0.788866
0.0696607, 0.908903, 0.141907, 0.0957393, -0.804608
0.100261, 0.900024, 0.141907, 0.0944213, -0.803082
0.0944363, 0.908851, 0.141907, 0.0923223, -0.788933
0.0883524, 0.929205, 0.141907, 0.0927474, -0.768301
0.12303, 0.926383, 0.141907, 0.0956801, -0.768295
0.0825217, 0.908879, 0.141907, 0.0956757, -0.734364
0.109477, 0.902318, 0.141907, 0.096241, -0.717344
0.119257, 0.89304, 0.141907, 0.100417, -0.711391
0.0681994, 0.908145, 0.141907, 0.102027, -0.706796
0.116853, 0.91261, 0.141907, 0.101754, -0.72713
0.0888731, 0.883987, 0.141907, 0.100847, -0.726173
0.0564246, 0.889562, 0.141907, 0.101737, -0.725549
0.094004, 0.898939, 0.141907, 0.099939, -0.721474
0.0625022, 0.908496, 0.141907, 0.101282, -0.698931
0.061853, 0.872288, 0.141907, 0.0990061, -0.708451
0.0826646, 0.886569, 0.141907, 0.103873, -0.720164
0.109409, 0.891023, 0.141907, 0.100729, -0.728714
0.0850896, 0.897401, 0.141907, 0.100033, -0.708077
0.0470259, 0.882872, 0.141907, 0.100879, -0.707319
0.0513927, 0.881278, 0.141907, 0.101362, -0.719053
0.0471304, 0.880812, 0.141907, 0.102476, -0.719121
0.0279194, 0.883398, 0.141907, 0.102535, -0.703452
0.0341663, 0.867834, 0.141907, 0.100531, -0.69054
0.0919582, 0.889059, 0.141907, 0.100482, -0.680186
0.0446991, 0.887002, 0.141907, 0.0992252, -0.686696
0.0659143, 0.884887, 0.141907, 0.0994064, -0.699226
0.0525592, 0.903229, 0.141907, 0.0965433, -0.712286
0.131254, 0.906823, 0.141907, 0.0953744, -0.696364
0.0924069, 0.882701, 0.141907, 0.0948621, -0.695054
0.0881514, 0.88423, 0.141907, 0.0987114, -0.680434
0.0720255, 0.893194, 0.141907, 0.100184, -0.661497
0.103692, 0.884925, 0.141907, 0.100876, -0.673888
0.106072, 0.912902, 0.141907, 0.0998529, -0.694218
0.111238, 0.897836, 0.141907, 0.099263, -0.697674
0.0567861, 0.886288, 0.141907, 0.10308, -0.695456
0.0649021, 0.897523, 0.141907, 0.10328, -0.702021
0.0844775, 0.896272, 0.141907, 0.102265, -0.701195
0.0642816, 0.883067, 0.141907, 0.102024, -0.734398
0.0586406, 0.895761, 0.141907, 0.105467, -0.735388
0.0814526, 0.890172, 0.141907, 0.108126, -0.727558
0.0506534, 0.898858, 0.141907, 0.107414, -0.70926
0.0421686, 0.877323, 0.141907, 0.108634, -0.743288
0.0586743, 0.876278, 0.141907, 0.105473, -0.744758
0.0564071, 0.871451, 0.141907, 0.104653, -0.726051
0.0692869, 0.861732, 0.141907, 0.110187, -0.728547
0.0949387, 0.858502, 0.141907, 0.10744, -0.720644
0.104628, 0.872374, 0.141907, 0.108659, -0.721605
0.0779651, 0.871665, 0.141907, 0.104974, -0.727669
0.0941203, 0.895809, 0.141907, 0.104593, -0.698084
0.114215, 0.892556, 0.141907, 0.104374, -0.705898
0.0919681, 0.872467, 0.141907, 0.104163, -0.72076
0.0744406, 0.88632, 0.141907, 0.101644, -0.705932
