the last, the last 100 averaged mu
0.0258683,0.0905655
0.15855,0.174816
0.263659,0.279239
0.232345,0.24067
0.307464,0.314128
0.343535,0.353714
0.404345,0.384878
0.343532,0.302615
0.276093,0.251634
0.0959364,0.0483583
0.141407,0.139577
0.102473,0.0931724
0.065494,0.00748542
-0.00355514,-0.0128613
0.0428421,0.0513655
-0.013166,0.0184532
0.148999,0.129166
0.174319,0.131528
0.118821,0.0932488
0.155203,0.120424
0.0231634,0.0190986
0.00169546,-0.00431254
-0.0121553,-0.000633148
0.0574808,0.030132
0.0350453,0.00611169
0.132076,0.0961472
0.0691818,0.0242224
0.221012,0.163228
-0.0041028,0.0282419
0.049206,0.0625571
0.315263,0.262149
0.359804,0.281299
0.447527,0.380619
0.388621,0.325129
0.323313,0.271567
0.289204,0.282966
0.386572,0.327436
0.495989,0.407562
0.50112,0.439959
0.545947,0.451827
0.438093,0.380204
0.323579,0.289348
0.300996,0.278219
0.266454,0.267761
0.457827,0.424372
0.512685,0.479059
0.407897,0.417551
0.392523,0.403552
0.460215,0.448258
0.657475,0.650125
0.71119,0.660088
0.674833,0.639785
0.464109,0.478164
0.434864,0.409552
0.266142,0.292066
0.25674,0.264388
0.281756,0.280858
0.234333,0.191033
0.0714413,0.0844978
0.0887794,0.105354
0.0713073,0.145887
0.090004,0.150448
0.0646387,0.0594126
-0.0601751,-0.0500457
0.0377236,0.0623331
0.0363545,0.0591471
0.0337654,0.0591899
-0.0548733,-0.0219409
-0.0835871,-0.0670152
-0.0898668,-0.0881946
-0.0214411,-0.0482605
-0.0158118,0.0269204
0.0256519,0.0386483
0.111058,0.137195
0.10346,0.0946586
0.33672,0.285004
0.339364,0.238753
0.42457,0.33835
0.324309,0.306448
0.283821,0.252144
0.231529,0.232807
0.163668,0.170518
0.107967,0.102712
0.110222,0.146069
0.0763865,0.129216
0.142982,0.171206
0.425152,0.383666
0.338452,0.366965
0.218987,0.233964
0.278347,0.265042
0.101723,0.130296
0.147225,0.112702
-0.010056,0.0508852
0.226036,0.165611
0.256104,0.162018
0.359206,0.232358
0.368453,0.318715
0.415875,0.40029
0.344638,0.376428
0.296481,0.288039
0.194928,0.216852
0.175155,0.17268
0.262844,0.222598
0.250728,0.203299
0.247301,0.203926
0.206008,0.180079
0.144339,0.142931
0.0707681,0.105605
0.0515883,0.0613783
-0.01462,-0.00900055
-0.00717297,0.0370942
0.15849,0.183709
0.035736,0.0945936
-0.0547931,-0.0148346
-0.0666647,-0.0834103
-0.110158,-0.110355
-0.0229523,-0.0168002
-0.119124,-0.097776
-0.00248031,0.0143184
-0.068154,-0.06962
-0.172945,-0.172183
-0.12688,-0.133548
-0.0503438,-0.0285951
-0.124044,-0.0967901
-0.160087,-0.0782222
-0.030501,-0.0160576
0.140794,0.0930259
0.162338,0.130176
0.326108,0.303213
0.323164,0.328737
0.418759,0.335993
0.210745,0.236303
0.243976,0.232929
