the last, the last 100 averaged mu
0.111355,0.101096
0.210887,0.183987
0.307372,0.287083
0.271469,0.251579
0.390336,0.311174
0.381362,0.329121
0.37671,0.346191
0.32486,0.266738
0.234876,0.21314
0.0316808,0.0214755
0.180759,0.108107
0.153631,0.0754937
0.0617402,0.00306043
0.00885605,-0.00827785
0.0502593,0.0698538
0.00850195,0.0532081
0.157716,0.164089
0.147886,0.163965
0.148729,0.120857
0.13095,0.140413
0.0214152,0.027507
-0.03124,0.00243459
-0.0478598,0.00755039
-0.0586608,0.0393883
-0.0192131,0.0193584
0.113196,0.10689
0.0430969,0.0471395
0.182475,0.167758
0.0414114,0.0573967
0.136536,0.0884899
0.300127,0.267265
0.306403,0.282285
0.373881,0.366738
0.291727,0.322774
0.215099,0.272568
0.244388,0.278281
0.303258,0.309654
0.400376,0.380641
0.380196,0.410679
0.388178,0.423568
0.388418,0.357073
0.266444,0.281754
0.269802,0.275663
0.281359,0.27373
0.437464,0.424725
0.479977,0.486254
0.442919,0.433515
0.449149,0.411817
0.462492,0.452236
0.655629,0.638768
0.667435,0.64001
0.618596,0.613773
0.451036,0.466609
0.377093,0.40292
0.306343,0.289329
0.222681,0.264019
0.253325,0.27653
0.229596,0.188358
0.0875334,0.0890514
0.0721212,0.10446
0.161719,0.139943
0.182927,0.156678
0.0945081,0.0844676
-0.0307239,-0.00262982
0.104823,0.0972045
0.128525,0.0799294
0.0648382,0.0641852
-0.0460642,-0.0146788
-0.102161,-0.0522867
-0.114963,-0.0717348
-0.0901322,-0.0295203
-0.0457713,0.0401814
-0.0283861,0.0535527
0.11709,0.143317
0.0536776,0.0943381
0.261026,0.266652
0.250968,0.219471
0.390893,0.307647
0.321235,0.265229
0.229526,0.221613
0.207273,0.208071
0.22949,0.158423
0.191034,0.102083
0.208171,0.13907
0.183824,0.124582
0.227701,0.171621
0.38534,0.367924
0.372487,0.344009
0.25073,0.221313
0.230826,0.246226
0.119853,0.11881
0.0761492,0.103021
0.0109504,0.0461401
0.132954,0.154883
0.110493,0.156156
0.255258,0.225732
0.331333,0.306013
0.426612,0.38012
0.358145,0.355529
0.241839,0.275453
0.204876,0.215829
0.154887,0.173669
0.2565,0.227915
0.207806,0.210678
0.222092,0.209922
0.162996,0.185927
0.106974,0.153478
0.00882351,0.120591
-0.00591047,0.0821357
-0.130269,0.0108336
-0.043975,0.0499856
0.0940582,0.17649
-0.00317144,0.0835821
-0.0622327,-0.026898
-0.095144,-0.101038
-0.130481,-0.114616
0.0169501,-0.0147286
-0.050505,-0.0857543
0.0572886,0.0205861
-0.0163855,-0.0478659
-0.119245,-0.14372
-0.0852473,-0.111804
0.0448143,-0.0165727
-0.0831475,-0.0806884
-0.0976743,-0.0637073
0.00370702,-0.00266065
0.0879826,0.101717
0.109217,0.13062
0.292952,0.294278
0.333196,0.33139
0.338425,0.338147
0.212771,0.245291
0.203915,0.244161
0.207384,0.174527
0.270379,0.208728
0.267164,0.227605
0.243715,0.218113
0.232786,0.224878
0.175231,0.204292
0.151496,0.166977
0.195966,0.189139
0.148626,0.100588
0.0517706,0.0258879
-0.0386979,-0.0652265
0.126435,0.161413
0.25614,0.253697
0.230707,0.26301
0.146204,0.167719
-0.0193327,0.0175361
-0.0962683,-0.0783777
0.0346238,0.0510581
0.245379,0.176041
0.229796,0.216128
0.276514,0.217664
0.334875,0.269263
0.398545,0.334926
0.51659,0.456963
0.509052,0.442233
0.404671,0.372589
0.454538,0.41284
0.341675,0.345849
0.293254,0.299911
0.317634,0.315756
0.210387,0.28003
0.206366,0.271772
0.221115,0.272401
0.343715,0.374955
0.280333,0.329339
0.238169,0.245039
0.288971,0.296176
0.281069,0.284597
0.115351,0.0977218
0.326592,0.288763
0.31555,0.296852
0.384979,0.34744
0.222669,0.200119
0.17295,0.163023
0.123177,0.0981937
0.142556,0.15401
0.0340018,0.0301589
0.0300366,0.0212475
-0.050334,-0.0820416
-0.0241031,-0.0939287
-0.128251,-0.142721
-0.217359,-0.209012
-0.275458,-0.221502
-0.271954,-0.255255
-0.225033,-0.214055
-0.300348,-0.293243
-0.325589,-0.299175
-0.445635,-0.436855
-0.286051,-0.323664
-0.434704,-0.43562
-0.377196,-0.387734
-0.273012,-0.245934
-0.254473,-0.22821
-0.28241,-0.307205
-0.43376,-0.395607
-0.390104,-0.388679
-0.256031,-0.216221
-0.239441,-0.231148
-0.120569,-0.120267
-0.08653,-0.115017
-0.256155,-0.234737
-0.238995,-0.253359
-0.164476,-0.203862
-0.156569,-0.22181
-0.275072,-0.32553
-0.316906,-0.330311
-0.245742,-0.256816
-0.199924,-0.212233
-0.0666323,-0.129075
-0.13121,-0.15136
-0.0666985,-0.0721591
-0.103082,-0.0722381
-0.16785,-0.158701
-0.123038,-0.124935
-0.0361645,-0.0352194
-0.0545246,-0.10226
-0.0751198,-0.0549226
0.00793829,-0.0235908
0.160799,0.0820502
0.0310203,0.00631353
-0.0676981,-0.0333354
-0.161766,-0.121572
-0.125547,-0.119391
-0.156751,-0.155235
-0.133092,-0.114856
-0.258246,-0.207853
-0.194391,-0.120195
-0.246461,-0.208765
-0.199237,-0.136244
-0.106113,-0.0595405
0.0785701,0.0888049
0.092951,0.0473536
0.0382617,0.0595819
0.0234572,0.0627541
-0.0068667,-0.00901542
-0.0646591,0.008935
-0.142349,-0.0940961
-0.0815479,-0.0121913
-0.0882952,0.00777895
-0.0649142,-0.019823
0.0540115,0.0911183
0.25301,0.206398
0.249488,0.187272
0.195056,0.14598
0.0707037,0.0886339
-0.00940574,0.0491232
0.114959,0.127366
0.0792631,0.060069
0.134095,0.076152
0.129149,0.101243
0.0987904,0.0695775
0.31549,0.266674
0.0897678,0.104284
0.191094,0.187936
0.0811336,0.0734804
0.00716332,-0.0018989
0.0504189,0.0441454
0.0559616,0.0726901
0.112905,0.103265
0.188268,0.205832
0.219728,0.256532
0.313525,0.321207
0.383847,0.336303
0.432912,0.431259
0.561689,0.602027
0.487625,0.497794
0.393017,0.453238
0.399627,0.468243
0.239485,0.308998
0.224149,0.321077
0.247752,0.419641
0.213528,0.367018
0.309342,0.412477
0.354725,0.386684
0.314732,0.38081
0.263446,0.309961
0.204727,0.24854
0.218038,0.217373
0.107146,0.130191
0.0384301,0.0396022
0.0453077,0.0802076
-0.147341,-0.0844504
-0.0126597,0.00572805
-0.0474168,0.0390748
0.0222437,0.138132
-0.0156559,0.104833
0.0588493,0.155224
0.116806,0.164895
0.177685,0.22386
0.0953032,0.175595
0.0444663,0.116127
0.0463826,0.07529
-0.0172511,-0.0101865
-0.132739,-0.113477
-0.0531557,-0.0810047
0.0242951,-0.0482086
0.0452486,-0.00381676
0.122402,0.0990597
0.102295,0.0726378
0.21172,0.161047
0.264295,0.232343
0.32295,0.274263
0.343489,0.365537
0.314238,0.299803
0.221319,0.268668
0.292801,0.324286
0.326677,0.348003
0.479492,0.455122
0.473315,0.473469
0.451091,0.451187
0.433724,0.426096
0.279532,0.336909
0.298555,0.345778
0.224839,0.257371
0.107197,0.168629
0.188342,0.186018
0.336183,0.335362
0.377901,0.35111
0.444222,0.379045
0.331466,0.260914
0.141696,0.170624
0.193895,0.19917
0.181893,0.17172
0.108059,0.0740095
0.220501,0.145791
0.14516,0.123592
0.0786685,0.0276985
0.0881035,0.0527865
0.105906,0.11083
0.0989538,0.117977
0.0987907,0.077607
0.131051,0.097266
0.095163,0.0703221
0.0021421,-0.00609367
-0.0652117,-0.0495907
-0.0109725,0.00923626
0.0471409,0.0560109
0.0512728,0.0243595
-0.130955,-0.137082
0.0578689,-0.0184095
0.0504341,-0.039768
0.0857346,0.0233425
-0.000260933,-0.041006
0.0342487,0.00108699
0.0591275,0.0305991
0.123824,0.0653931
0.0732443,0.0960757
0.12539,0.121496
0.110788,0.111752
-0.0048727,0.0293664
-0.176739,-0.144832
-0.0440752,-0.0120841
-0.161958,-0.100344
-0.0351419,-0.0472931
0.0500359,0.0858371
0.0786066,0.0957927
-0.0683705,0.0124719
-0.00925711,0.0874747
-0.0412803,0.0204508
-0.0161855,0.0566248
-0.0548037,-0.014192
0.07141,0.0724451
0.201216,0.189896
0.354247,0.281063
0.301916,0.193047
0.286683,0.234634
0.293803,0.2642
0.282221,0.259081
0.0462334,0.0967004
0.108889,0.122844
0.136142,0.157963
0.0942042,0.116732
-0.0963858,-0.0142531
-0.0730158,-0.0269885
-0.144979,-0.109014
-0.200402,-0.153312
-0.198859,-0.155172
-0.103565,-0.0632169
-0.0465978,-0.0115742
-0.0132421,0.053442
-0.0485125,0.0127939
0.00125976,0.0535232
-0.0525543,0.0225134
-0.0237839,0.0181973
-0.17805,-0.130521
-0.192972,-0.152592
-0.167775,-0.192204
-0.218841,-0.20431
-0.154269,-0.119616
-0.257138,-0.19409
-0.208233,-0.161567
-0.21231,-0.19251
-0.105871,-0.105916
-0.0737622,-0.0867192
0.0309128,0.0141532
0.110925,0.0724798
0.0884652,0.098403
0.113873,0.110724
0.085398,0.147221
0.117976,0.192762
0.161722,0.181503
0.0532435,0.0942009
0.147589,0.192654
0.0237396,0.0664297
0.0303069,0.0631308
0.0608109,0.113127
0.0357714,0.0952679
0.0189572,0.0474053
-0.0136625,-0.0204713
0.0328553,0.0701496
0.0751571,0.146531
0.110187,0.17638
0.0599668,0.104852
