the last, the last 100 averaged mu
0.133908,0.0873452
0.223684,0.1696
0.317487,0.281033
0.283262,0.238917
0.344905,0.308113
0.406845,0.347569
0.38462,0.375733
0.279594,0.288741
0.285389,0.236511
0.0416007,0.029594
0.159698,0.126038
0.107954,0.0830995
0.0229133,0.00150933
0.0157422,-0.012347
0.0687076,0.0613215
0.0109875,0.03763
0.0891403,0.151557
0.1017,0.151063
0.076874,0.110221
0.080928,0.12906
0.0255238,0.0155487
0.0340901,-0.00889507
0.0543954,-7.79439e-05
0.0289371,0.0290411
-0.0553577,0.00999122
0.0750924,0.101575
0.0493699,0.022953
0.14652,0.151319
-0.00732097,0.0217411
0.0580577,0.0617601
0.312599,0.250719
0.256056,0.251303
0.371646,0.344639
0.301991,0.297061
0.306476,0.251506
0.276732,0.269807
0.274893,0.3211
0.338356,0.400781
0.359367,0.431527
0.38526,0.444566
0.293998,0.370737
0.250585,0.279392
0.261235,0.270774
0.251613,0.26044
0.36285,0.411828
0.447884,0.461779
0.394375,0.397871
0.370476,0.378429
0.397193,0.420006
0.620008,0.630373
0.655852,0.640412
0.638034,0.618288
0.476249,0.458281
0.400234,0.400823
0.227599,0.288776
0.216714,0.26619
0.259511,0.283371
0.123236,0.182133
0.0417116,0.0759013
0.100925,0.102657
0.106697,0.148672
0.137142,0.166115
0.0365118,0.0752169
-0.07494,-0.0255905
-0.00268867,0.0819326
-0.0128397,0.0727152
0.0359351,0.0625577
-0.0418428,-0.0213523
-0.0660177,-0.0679271
0.00169966,-0.0782311
0.0363348,-0.0315771
0.114753,0.0418267
0.0631496,0.0490807
0.117803,0.134239
0.0956921,0.0876183
0.291545,0.282406
0.263181,0.233759
0.315961,0.328234
0.306658,0.29236
0.271131,0.249595
0.263185,0.226652
0.219358,0.162042
0.112469,0.0974325
0.114625,0.149046
0.0793098,0.133373
0.141202,0.178445
0.398437,0.390035
0.313641,0.368305
0.200585,0.245525
0.265663,0.275751
0.0627214,0.134309
0.07489,0.115155
0.0135894,0.044321
0.116291,0.15746
0.127702,0.152071
0.267793,0.226642
0.317197,0.312181
0.407533,0.395679
0.365343,0.363654
0.304089,0.274025
0.197774,0.207915
0.15052,0.169952
0.235103,0.224058
0.217419,0.20691
0.246331,0.202622
0.212056,0.179049
0.145989,0.138946
0.108875,0.10417
0.0450431,0.0591587
-0.00950089,-0.0146012
-0.0182737,0.0283083
0.140936,0.172481
0.065777,0.0852775
-0.0567258,-0.0314835
-0.161051,-0.116343
-0.185005,-0.13942
-0.0977694,-0.0329508
-0.127312,-0.107935
-0.037692,0.0111581
-0.113613,-0.0636511
-0.192503,-0.167255
-0.106397,-0.134806
0.0238188,-0.0285961
-0.0570241,-0.0986551
-0.0947756,-0.0865416
0.00807496,-0.0209522
0.0773761,0.0928123
0.0944944,0.126372
0.29724,0.293962
0.308227,0.323872
0.324074,0.325621
0.262717,0.226464
0.239964,0.230715
0.175107,0.157736
0.233324,0.19504
0.230217,0.206612
0.214391,0.195579
0.213103,0.204603
0.156233,0.174889
0.138461,0.131345
0.20079,0.170198
0.155629,0.0909601
0.0740593,0.0108181
-0.0860537,-0.0811749
0.202584,0.171132
0.275348,0.270955
0.272508,0.279886
0.169589,0.171222
-0.0164447,0.016135
-0.120052,-0.0780017
0.0821031,0.0680226
0.241408,0.200224
0.248116,0.23748
0.257873,0.23448
0.304578,0.29593
0.380268,0.35557
0.455588,0.475049
0.381834,0.446232
0.337571,0.370769
0.445557,0.429952
0.386909,0.363896
0.299102,0.314514
0.316131,0.329352
0.34022,0.280402
0.316006,0.270041
0.290204,0.270687
0.384755,0.389728
0.277693,0.345421
0.152251,0.250416
0.250963,0.311402
0.275925,0.306295
0.0888689,0.103464
0.300871,0.315101
0.337531,0.321094
0.41273,0.372937
0.21708,0.213167
0.190186,0.167482
0.105215,0.0937568
0.15561,0.157835
0.00572123,0.0244976
-0.00189546,0.0101964
-0.113419,-0.0994077
-0.1291,-0.107543
-0.228563,-0.159345
-0.253099,-0.22899
-0.281972,-0.240995
-0.306057,-0.278529
-0.277009,-0.232532
-0.361182,-0.316103
-0.366868,-0.322228
-0.488894,-0.479145
-0.305404,-0.352817
-0.466248,-0.475544
-0.48904,-0.416576
-0.290163,-0.251211
-0.222083,-0.231105
-0.249952,-0.317027
-0.37636,-0.415606
-0.396413,-0.410096
-0.180229,-0.208493
-0.22354,-0.229018
-0.11517,-0.129517
-0.120774,-0.135895
-0.311655,-0.273465
-0.302787,-0.272909
-0.177996,-0.209028
-0.238393,-0.225488
-0.317685,-0.333072
-0.308241,-0.337914
-0.240399,-0.264289
-0.193106,-0.208224
-0.127985,-0.120697
-0.218103,-0.150897
-0.161343,-0.0716566
-0.105691,-0.0703171
-0.166058,-0.16099
-0.133538,-0.12679
0.0103598,-0.0259163
-0.07906,-0.088819
0.00242324,-0.0374342
0.0318022,-0.0121639
0.150797,0.100204
0.0743534,0.0133861
0.0733603,-0.0293161
-0.0334834,-0.131568
-0.0959934,-0.143998
