E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.117233, 0.119227, 1, 0.584529, 0.933528
0.123859, 0.191497, 0.838654, 0.413587, 0.899338
0.0947277, 0.177424, 0.629307, 0.321862, 0.845737
0.0895199, 0.129834, 0.506239, 0.265558, 0.809884
0.0913475, 0.190546, 0.420864, 0.228996, 0.773686
0.0935211, 0.234786, 0.373955, 0.213643, 0.748859
0.0936818, 0.327994, 0.338624, 0.202642, 0.703718
0.0851732, 0.314676, 0.299292, 0.179169, 0.65299
0.0772492, 0.327777, 0.279956, 0.174247, 0.665616
0.0751895, 0.361177, 0.27501, 0.165282, 0.675622
0.0865346, 0.441592, 0.27501, 0.163576, 0.681736
0.0803146, 0.501215, 0.272667, 0.155113, 0.67433
0.0874206, 0.563653, 0.272667, 0.149022, 0.704573
0.0743821, 0.555942, 0.272667, 0.142263, 0.707114
0.0709504, 0.535509, 0.272667, 0.140786, 0.709687
0.0783809, 0.57822, 0.272667, 0.134737, 0.731908
0.0919544, 0.570506, 0.272667, 0.132018, 0.74443
0.101162, 0.583926, 0.272667, 0.130242, 0.740324
0.0936881, 0.650333, 0.272667, 0.126209, 0.740541
0.0904396, 0.678029, 0.272667, 0.122367, 0.745874
0.0719073, 0.715738, 0.272667, 0.120488, 0.73791
0.0852903, 0.74171, 0.272667, 0.117991, 0.740513
0.0723238, 0.781285, 0.272667, 0.114584, 0.7702
0.0750952, 0.784033, 0.272667, 0.111777, 0.78994
0.0687293, 0.789877, 0.272667, 0.111172, 0.790284
0.0747164, 0.771926, 0.272667, 0.109233, 0.807681
0.0757622, 0.772187, 0.272667, 0.111739, 0.824394
0.0811945, 0.780427, 0.272667, 0.110484, 0.823115
0.0880456, 0.80179, 0.272667, 0.106737, 0.825666
0.080954, 0.795862, 0.272667, 0.102034, 0.833141
0.0804726, 0.820568, 0.272667, 0.103817, 0.858558
0.0647675, 0.816142, 0.272667, 0.103059, 0.85401
0.0719782, 0.809895, 0.272667, 0.104786, 0.86233
0.0674974, 0.789819, 0.272667, 0.10358, 0.856035
0.0822522, 0.778339, 0.272667, 0.105541, 0.872084
0.0763998, 0.80993, 0.272667, 0.105197, 0.857731
0.0627532, 0.809506, 0.272667, 0.103867, 0.863241
0.0687793, 0.818051, 0.272667, 0.105056, 0.862964
0.0672489, 0.804565, 0.272667, 0.103009, 0.854775
0.0572361, 0.782143, 0.272667, 0.100505, 0.865497
0.0523974, 0.820727, 0.272667, 0.0998286, 0.849061
0.0510714, 0.83944, 0.272667, 0.099265, 0.846521
0.0465346, 0.85217, 0.272667, 0.0955511, 0.844145
0.0448223, 0.875539, 0.272667, 0.0929973, 0.830583
0.0363946, 0.868908, 0.272667, 0.092129, 0.812765
0.0402347, 0.854855, 0.272667, 0.0918724, 0.80533
0.0630789, 0.878836, 0.272667, 0.0928383, 0.811195
0.0592138, 0.87376, 0.272667, 0.0923138, 0.82436
0.0317894, 0.85807, 0.272667, 0.0911827, 0.815346
0.051363, 0.83291, 0.272667, 0.0892778, 0.824782
0.0486561, 0.8487, 0.272667, 0.0909436, 0.814037
0.061279, 0.853466, 0.272667, 0.0897334, 0.821495
0.0585594, 0.850263, 0.272667, 0.0879387, 0.827399
0.0665401, 0.87291, 0.272667, 0.0855339, 0.821435
0.0711117, 0.855901, 0.272667, 0.0851271, 0.817517
0.0731389, 0.843426, 0.272667, 0.0846583, 0.817242
0.0690133, 0.854101, 0.272667, 0.0835603, 0.83658
0.0690998, 0.864781, 0.272667, 0.0827594, 0.837468
0.0752424, 0.87895, 0.272667, 0.0830836, 0.841176
0.0753792, 0.874736, 0.272667, 0.0811724, 0.84244
0.0835308, 0.872186, 0.272667, 0.0793468, 0.841254
0.0989784, 0.866578, 0.272667, 0.079413, 0.850373
0.101405, 0.886, 0.272667, 0.0805489, 0.855126
0.0990602, 0.891616, 0.272667, 0.0775172, 0.845577
0.0976386, 0.88559, 0.272667, 0.0789763, 0.847563
0.0915792, 0.879682, 0.272667, 0.0772213, 0.852136
0.0893715, 0.880958, 0.272667, 0.0765441, 0.845471
0.0966471, 0.876713, 0.272667, 0.0759729, 0.840446
0.0888395, 0.879196, 0.272667, 0.0764205, 0.839562
0.109104, 0.879543, 0.272667, 0.0753544, 0.827914
0.128426, 0.902076, 0.272667, 0.0733889, 0.824686
0.123017, 0.908345, 0.272667, 0.0726246, 0.813625
0.0968193, 0.882495, 0.272667, 0.0720527, 0.817777
0.116501, 0.907347, 0.272667, 0.0704987, 0.812509
0.0981236, 0.900134, 0.272667, 0.0704845, 0.795306
0.0912903, 0.89858, 0.272667, 0.0702401, 0.807609
0.100479, 0.899784, 0.272667, 0.0722561, 0.808097
0.0978749, 0.900595, 0.272667, 0.0721992, 0.824306
0.098092, 0.899058, 0.272667, 0.0718256, 0.823862
0.0945585, 0.903281, 0.272667, 0.0724686, 0.815547
0.0961495, 0.909178, 0.272667, 0.0729016, 0.834717
0.108342, 0.900494, 0.272667, 0.0726445, 0.839441
0.109434, 0.907897, 0.272667, 0.0738284, 0.838961
0.130307, 0.916919, 0.272667, 0.0737798, 0.842811
0.111491, 0.911069, 0.272667, 0.0733755, 0.842629
0.10139, 0.908957, 0.272667, 0.0716643, 0.835177
0.0619232, 0.926518, 0.272667, 0.0710874, 0.833633
0.0707247, 0.925451, 0.272667, 0.0690499, 0.83227
0.0952093, 0.920607, 0.272667, 0.0700692, 0.838037
0.0897297, 0.920337, 0.272667, 0.0694276, 0.836742
0.114675, 0.934173, 0.272667, 0.0687234, 0.83007
0.101666, 0.919029, 0.272667, 0.0703335, 0.82176
0.0686102, 0.929773, 0.272667, 0.0725526, 0.821467
0.0953155, 0.939743, 0.272667, 0.0725247, 0.816337
0.11041, 0.928849, 0.272667, 0.0750915, 0.84046
0.12382, 0.919766, 0.272667, 0.0742666, 0.832818
0.100388, 0.926549, 0.272667, 0.0734054, 0.805123
0.0947372, 0.922271, 0.272667, 0.0717785, 0.798217
0.0544975, 0.926288, 0.272667, 0.0702458, 0.819815
0.0899342, 0.92185, 0.272667, 0.0705174, 0.817262
0.0594945, 0.917151, 0.272667, 0.0701885, 0.819693
0.0490078, 0.921542, 0.272667, 0.0686256, 0.815567
