E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.0427865, 0.0172896, 1, 0.543886, 0.912466
0.0411579, 0.0493051, 0.802972, 0.368452, 0.835842
0.042095, 0.0770493, 0.522663, 0.298296, 0.751235
0.0645398, 0.12845, 0.412411, 0.264833, 0.658523
0.0765869, 0.171022, 0.336391, 0.236463, 0.596928
0.0862421, 0.19238, 0.291289, 0.215967, 0.56794
0.0835095, 0.271696, 0.256232, 0.191848, 0.563952
0.0675475, 0.361021, 0.256232, 0.17473, 0.614249
0.0674386, 0.381874, 0.256232, 0.170462, 0.630882
0.069419, 0.391165, 0.253096, 0.165314, 0.642444
0.0554299, 0.486051, 0.253096, 0.154275, 0.620101
0.0677565, 0.563986, 0.252537, 0.146466, 0.588514
0.0739829, 0.648489, 0.246092, 0.136947, 0.583284
0.077437, 0.646175, 0.241037, 0.12815, 0.580774
0.10058, 0.683768, 0.241037, 0.120617, 0.540692
0.0823463, 0.675295, 0.226922, 0.113369, 0.519213
0.0880947, 0.715922, 0.226922, 0.109385, 0.526299
0.104666, 0.75051, 0.221399, 0.10697, 0.54791
0.0811418, 0.731729, 0.221399, 0.108288, 0.525843
0.0883501, 0.787853, 0.221399, 0.105327, 0.470419
0.0792283, 0.804067, 0.212241, 0.104056, 0.431514
0.0658328, 0.777702, 0.208481, 0.104055, 0.396468
0.0814477, 0.777689, 0.196772, 0.0997465, 0.384955
0.0850367, 0.815071, 0.196557, 0.0971968, 0.384026
0.0504617, 0.817525, 0.196557, 0.0960886, 0.411396
0.0694003, 0.825076, 0.196557, 0.0971655, 0.392696
0.0428189, 0.862885, 0.196557, 0.0960582, 0.371
0.0642292, 0.866265, 0.192222, 0.0934056, 0.379415
0.0488976, 0.848028, 0.192222, 0.0953944, 0.394954
0.063975, 0.838935, 0.192222, 0.0935336, 0.400357
0.0756897, 0.852402, 0.190736, 0.0911463, 0.310684
0.0933142, 0.848933, 0.190736, 0.0896253, 0.323089
0.0783793, 0.866273, 0.190736, 0.0875048, 0.340597
0.0497654, 0.892934, 0.190736, 0.0865619, 0.364594
0.0682602, 0.890477, 0.190736, 0.087132, 0.352117
0.0844368, 0.862188, 0.183594, 0.0885712, 0.289034
0.0896077, 0.867722, 0.183594, 0.0887237, 0.314695
0.050131, 0.867088, 0.183594, 0.0865878, 0.32527
0.108792, 0.899048, 0.183594, 0.0845541, 0.298961
0.0563505, 0.895864, 0.183594, 0.0808194, 0.273406
0.0649529, 0.901251, 0.183594, 0.078703, 0.227141
0.0946004, 0.925596, 0.183594, 0.0732117, 0.220193
0.112446, 0.916057, 0.180441, 0.0755981, 0.185452
0.106094, 0.911094, 0.179907, 0.0766225, 0.18384
0.102851, 0.914828, 0.179907, 0.0751137, 0.194795
0.0704195, 0.91558, 0.179907, 0.0788704, 0.193394
0.0731058, 0.906466, 0.179907, 0.0814725, 0.172394
0.0763755, 0.908409, 0.173844, 0.0816834, 0.190967
0.0791128, 0.903976, 0.173844, 0.0774306, 0.175393
0.0688057, 0.917748, 0.173844, 0.0796032, 0.226786
0.0977249, 0.935176, 0.173844, 0.0789509, 0.221578
0.0610176, 0.917116, 0.173844, 0.0753776, 0.210889
0.0730965, 0.885659, 0.171251, 0.07683, 0.153452
0.049501, 0.88924, 0.171251, 0.0756584, 0.134071
0.112686, 0.916311, 0.171251, 0.0728734, 0.0904781
0.0449614, 0.913646, 0.171089, 0.0765994, 0.0504648
0.0615241, 0.924206, 0.170674, 0.077214, 0.0562879
0.0528227, 0.910784, 0.16796, 0.079155, 0.0586208
0.0893842, 0.902355, 0.163602, 0.0789344, 0.0325534
0.0294053, 0.907582, 0.160092, 0.07962, -0.0231536
0.0378652, 0.90387, 0.161018, 0.08306, -0.0260431
0.102939, 0.915417, 0.157089, 0.079408, -0.0817029
0.0650347, 0.911553, 0.155174, 0.0776154, -0.124612
0.0518426, 0.916143, 0.155174, 0.0804783, -0.170281
0.0969256, 0.913045, 0.155174, 0.0807042, -0.194515
0.0729701, 0.886133, 0.155174, 0.0845475, -0.177614
0.0786001, 0.900384, 0.155174, 0.0843127, -0.189572
0.0604191, 0.921022, 0.155174, 0.082811, -0.207426
0.0799375, 0.90171, 0.155174, 0.0863796, -0.214227
0.0392939, 0.908936, 0.155174, 0.0872994, -0.299079
0.0473731, 0.908751, 0.155174, 0.0846262, -0.300489
