E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.036075, 0.0162351, 1, 0.545197, 0.909365
0.0193435, 0.144125, 0.772442, 0.384054, 0.858637
0.0303339, 0.147548, 0.570309, 0.322599, 0.798272
0.0327602, 0.193268, 0.449439, 0.28263, 0.732572
0.0308683, 0.211042, 0.36691, 0.229751, 0.652482
0.0302131, 0.198248, 0.31976, 0.209906, 0.629235
0.0283892, 0.219901, 0.280263, 0.188116, 0.605183
0.0445195, 0.32259, 0.269059, 0.170281, 0.605668
0.0405147, 0.357435, 0.268407, 0.165427, 0.598126
0.0543977, 0.391255, 0.257803, 0.159837, 0.596408
0.0465622, 0.365337, 0.257803, 0.148487, 0.604847
0.0418026, 0.389077, 0.257803, 0.145053, 0.598175
0.0445006, 0.454703, 0.255752, 0.13856, 0.588859
0.0542427, 0.538665, 0.244582, 0.133984, 0.599164
0.0555438, 0.555213, 0.244582, 0.124058, 0.599147
0.046188, 0.579883, 0.244582, 0.126549, 0.632684
0.0543735, 0.587922, 0.244582, 0.125501, 0.667474
0.0523919, 0.642424, 0.244582, 0.123034, 0.663328
0.0675774, 0.663652, 0.244582, 0.119442, 0.662432
0.093034, 0.649753, 0.244582, 0.119619, 0.642748
0.0761108, 0.710874, 0.244582, 0.119619, 0.613023
0.0814426, 0.715941, 0.244582, 0.115568, 0.610052
0.0799223, 0.720256, 0.244582, 0.117705, 0.645506
0.0793763, 0.7736, 0.244582, 0.115518, 0.628123
0.0525136, 0.79849, 0.244582, 0.111466, 0.578989
0.0602228, 0.808252, 0.244582, 0.108788, 0.586672
0.0917482, 0.811821, 0.244582, 0.108423, 0.609049
0.10367, 0.790414, 0.237774, 0.105482, 0.601719
0.0713054, 0.787906, 0.237774, 0.0989119, 0.579139
0.0952665, 0.798309, 0.237774, 0.0962801, 0.599005
0.102151, 0.814506, 0.237774, 0.0952726, 0.616463
0.0933761, 0.843167, 0.237774, 0.0916365, 0.641261
0.0959942, 0.849934, 0.237774, 0.0878888, 0.637355
0.100311, 0.862889, 0.237774, 0.0853285, 0.669467
0.0779357, 0.846832, 0.237774, 0.0871001, 0.659448
0.102583, 0.863428, 0.237774, 0.0883128, 0.692299
0.101175, 0.863951, 0.237774, 0.0894489, 0.679601
0.0957789, 0.852703, 0.237774, 0.086439, 0.7032
0.0973235, 0.85888, 0.237774, 0.0851158, 0.698346
0.0685749, 0.862129, 0.237774, 0.0881337, 0.679138
0.0855988, 0.88574, 0.237774, 0.0862415, 0.68571
0.113239, 0.850403, 0.237774, 0.0855664, 0.688779
0.122368, 0.890792, 0.237774, 0.0854505, 0.665498
0.119698, 0.89084, 0.237774, 0.0832244, 0.643453
0.0985289, 0.883027, 0.237774, 0.0811761, 0.641788
0.0555037, 0.872648, 0.237774, 0.0782933, 0.6379
0.0660858, 0.885907, 0.237774, 0.0769141, 0.643289
0.0424122, 0.873594, 0.237774, 0.0751857, 0.640892
0.0426148, 0.884254, 0.237774, 0.0742971, 0.613592
0.0386978, 0.893018, 0.237774, 0.0736049, 0.6138
0.0769628, 0.907559, 0.237774, 0.0696604, 0.618858
0.0940694, 0.906594, 0.237774, 0.0685843, 0.643843
0.0806298, 0.896738, 0.237774, 0.065056, 0.664191
0.0703968, 0.886654, 0.237774, 0.0640875, 0.649258
0.0788266, 0.886585, 0.237774, 0.065566, 0.651873
0.0914363, 0.867149, 0.237774, 0.0646861, 0.653112
0.0910575, 0.881094, 0.237774, 0.0660375, 0.651666
0.0646697, 0.877362, 0.237774, 0.0651465, 0.690396
0.0690553, 0.881764, 0.237774, 0.0691978, 0.675663
0.0927031, 0.886665, 0.237774, 0.0677207, 0.679707
0.0836815, 0.857716, 0.237774, 0.0711816, 0.647474
0.077973, 0.867123, 0.237774, 0.0705667, 0.677498
0.0620238, 0.879237, 0.237774, 0.0701003, 0.668598
0.0782369, 0.873261, 0.237774, 0.068269, 0.679439
0.0736061, 0.868725, 0.237774, 0.0670146, 0.669998
0.0693224, 0.875203, 0.237774, 0.0682465, 0.701557
0.0536819, 0.925304, 0.237774, 0.069417, 0.716057
0.0505375, 0.89802, 0.237774, 0.0654922, 0.725558
0.0791813, 0.906025, 0.237774, 0.0681036, 0.717322
0.0899476, 0.906125, 0.237774, 0.0644659, 0.727225
0.113342, 0.925309, 0.237774, 0.0643932, 0.743468
0.0416815, 0.91024, 0.237774, 0.0633705, 0.749806
0.078395, 0.908036, 0.237774, 0.0636558, 0.730879
0.110188, 0.918152, 0.237774, 0.062826, 0.740301
0.092479, 0.926802, 0.237774, 0.0638519, 0.757386
0.146892, 0.930206, 0.237774, 0.0636032, 0.76658
0.116255, 0.918143, 0.237774, 0.0649164, 0.770861
0.083454, 0.921163, 0.237774, 0.0644505, 0.754435
0.104666, 0.939297, 0.237774, 0.0667124, 0.7372
0.127415, 0.942115, 0.237774, 0.0668026, 0.734527
0.132543, 0.927705, 0.237774, 0.0678358, 0.764813
0.110383, 0.929417, 0.237774, 0.0684665, 0.786747
0.0912271, 0.933495, 0.237774, 0.0701518, 0.800308
0.0898436, 0.92317, 0.237774, 0.0721744, 0.79068
0.116129, 0.920259, 0.237774, 0.0725814, 0.794854
0.0957304, 0.92829, 0.237774, 0.0706102, 0.803945
0.124436, 0.913933, 0.237774, 0.0698384, 0.794611
0.129911, 0.912763, 0.237774, 0.0689836, 0.798449
0.0860638, 0.90389, 0.237774, 0.0683598, 0.808633
0.101415, 0.915218, 0.237774, 0.0701356, 0.818273
0.0865061, 0.922793, 0.237774, 0.0688289, 0.808377
0.089379, 0.924169, 0.237774, 0.0688555, 0.803725
0.0739323, 0.914633, 0.237774, 0.0684285, 0.805551
0.0982353, 0.932517, 0.237774, 0.066621, 0.820072
0.0747885, 0.931136, 0.237774, 0.0666973, 0.798545
0.0972103, 0.927815, 0.237774, 0.0642475, 0.801526
0.0962215, 0.929671, 0.237774, 0.0646848, 0.792174
0.115601, 0.925598, 0.237774, 0.0660191, 0.803656
0.0997407, 0.94196, 0.237774, 0.0645324, 0.799995
0.0869222, 0.914521, 0.237774, 0.0668307, 0.796644
0.104865, 0.915872, 0.237774, 0.0671803, 0.798324
0.10554, 0.906238, 0.237774, 0.0674527, 0.81316
0.117168, 0.906649, 0.237774, 0.0668917, 0.830757
0.093893, 0.916277, 0.237774, 0.063648, 0.811427
0.100773, 0.913398, 0.237774, 0.0634204, 0.808292
0.0915625, 0.921482, 0.237774, 0.0634348, 0.820388
0.102155, 0.911875, 0.237774, 0.0628364, 0.824267
0.0764595, 0.914579, 0.237774, 0.0635871, 0.830938
0.101292, 0.903021, 0.237774, 0.0644368, 0.843119
0.0769877, 0.91207, 0.237774, 0.0651214, 0.828372
0.0688191, 0.931567, 0.237774, 0.063823, 0.834998
0.104192, 0.902735, 0.237774, 0.0618839, 0.819048
0.0859023, 0.899895, 0.237774, 0.0625026, 0.807651
0.0892204, 0.90408, 0.237774, 0.06207, 0.825846
0.119852, 0.915108, 0.237774, 0.0642402, 0.813687
0.110374, 0.915005, 0.237774, 0.0632541, 0.811314
0.085644, 0.915486, 0.237774, 0.0617173, 0.802986
0.0969586, 0.913033, 0.237774, 0.0603846, 0.795613
0.116642, 0.905782, 0.237774, 0.0608757, 0.780016
0.120151, 0.900741, 0.237774, 0.0589056, 0.784212
0.0864717, 0.907769, 0.237774, 0.0607184, 0.782639
0.102914, 0.916566, 0.237774, 0.0595863, 0.802998
0.0920729, 0.908921, 0.237774, 0.058248, 0.796616
0.105334, 0.918341, 0.237774, 0.0579822, 0.792893
0.106832, 0.925966, 0.237774, 0.0584302, 0.789727
0.116907, 0.934191, 0.237774, 0.0587212, 0.807467
0.103707, 0.924008, 0.237774, 0.059411, 0.800368
0.111485, 0.92833, 0.237774, 0.0597062, 0.813433
0.119669, 0.9292, 0.237774, 0.0601481, 0.816905
0.143898, 0.929109, 0.237774, 0.0596751, 0.803769
0.110923, 0.932206, 0.237774, 0.0599622, 0.779878
0.117131, 0.92067, 0.237774, 0.0612189, 0.781961
0.128308, 0.935672, 0.237774, 0.0612668, 0.788002
0.10605, 0.926755, 0.237774, 0.0592733, 0.779386
0.1294, 0.943959, 0.237774, 0.0596606, 0.768115
0.12307, 0.934136, 0.237774, 0.0601016, 0.777816
0.145027, 0.940677, 0.237774, 0.0593399, 0.781413
0.149318, 0.926582, 0.237774, 0.0598138, 0.79149
0.113841, 0.922557, 0.237774, 0.0591184, 0.796396
0.131938, 0.91908, 0.237774, 0.0580957, 0.795026
0.128473, 0.940711, 0.237774, 0.0551157, 0.797211
0.139352, 0.944432, 0.237774, 0.0559664, 0.773586
0.106488, 0.934269, 0.237774, 0.0557339, 0.779648
0.123463, 0.916279, 0.237774, 0.0551613, 0.795295
0.0986485, 0.926345, 0.237774, 0.0568221, 0.780731
0.101348, 0.914714, 0.237774, 0.056479, 0.790358
0.102408, 0.920933, 0.237774, 0.0572653, 0.80584
0.0740955, 0.924705, 0.237774, 0.0564757, 0.805125
0.102408, 0.929732, 0.237774, 0.057795, 0.800701
0.0879742, 0.934823, 0.237774, 0.0570657, 0.807747
0.112828, 0.931502, 0.237774, 0.0584295, 0.812813
0.112054, 0.93526, 0.237774, 0.0584816, 0.805954
0.106965, 0.929455, 0.237774, 0.0602395, 0.823823
0.0883743, 0.935644, 0.237774, 0.0598944, 0.828779
0.100762, 0.925776, 0.237774, 0.0587428, 0.821694
0.0678105, 0.930931, 0.237774, 0.0596718, 0.822361
0.0877226, 0.935933, 0.237774, 0.0592172, 0.817506
0.0586076, 0.933223, 0.237774, 0.0607551, 0.816918
0.100219, 0.936491, 0.237774, 0.0605739, 0.817226
0.0764298, 0.929171, 0.237774, 0.0612955, 0.793124
0.0671627, 0.941411, 0.237774, 0.0621634, 0.78447
0.0552265, 0.952506, 0.237774, 0.0636825, 0.778639
0.0416579, 0.948487, 0.237774, 0.06283, 0.776659
0.0527708, 0.945287, 0.237774, 0.0623666, 0.821102
0.0576436, 0.95508, 0.237774, 0.0624283, 0.820108
0.0792269, 0.94166, 0.237774, 0.0603899, 0.827782
0.0447077, 0.942233, 0.237774, 0.0608916, 0.828451
0.0351921, 0.960232, 0.237774, 0.0608021, 0.823055
0.0288222, 0.951113, 0.237774, 0.0594323, 0.832335
0.0277498, 0.942197, 0.237774, 0.0620284, 0.839538
0.0455553, 0.951947, 0.237774, 0.0600286, 0.846803
0.066357, 0.942795, 0.237774, 0.0603826, 0.84488
0.0180827, 0.954932, 0.237774, 0.0605745, 0.833373
0.0311192, 0.9419, 0.237774, 0.0630576, 0.841558
0.0449972, 0.939788, 0.237774, 0.0619505, 0.845696
0.0852809, 0.952975, 0.237774, 0.0629845, 0.861343
0.0104538, 0.952311, 0.237774, 0.063751, 0.863665
0.05981, 0.943189, 0.237774, 0.0632411, 0.858071
0.00831129, 0.947578, 0.237774, 0.0616132, 0.867336
0.0314459, 0.962013, 0.237774, 0.0617299, 0.854596
0.00417098, 0.949209, 0.237774, 0.0614353, 0.857629
