the last, the last 100 averaged mu
-0.0198397,0.0790905
0.0885494,0.171383
0.247922,0.295703
0.203682,0.240425
0.233242,0.319553
0.347344,0.355277
0.38066,0.389476
0.300903,0.305554
0.206979,0.25987
-0.0384287,0.0270234
0.136916,0.144482
0.0619467,0.100702
-0.0370519,0.0143641
0.0253189,-0.00463163
0.0994394,0.0775232
0.0605582,0.0369695
0.219988,0.162226
0.181924,0.159504
0.0854863,0.103736
0.0905118,0.132903
0.00581713,-0.0018177
-0.0985227,-0.0326812
-0.0139622,-0.0260333
0.0437165,0.0153819
-0.00688095,-0.00486236
0.160249,0.0962476
0.0374356,0.00795866
0.227608,0.163686
0.0555969,0.0123389
0.0498217,0.0527546
0.307713,0.275402
0.344721,0.281552
0.380134,0.393543
0.340994,0.328327
0.287244,0.264709
0.263678,0.2712
0.334024,0.318928
0.39488,0.406784
0.451293,0.436261
0.442014,0.458226
0.428552,0.380882
0.345716,0.284905
0.310632,0.277566
0.198927,0.259454
0.38755,0.427588
0.454171,0.483686
0.403951,0.411745
0.452042,0.388383
0.479589,0.430483
0.733784,0.663343
0.759117,0.68035
0.719663,0.663952
0.502433,0.483361
0.403497,0.412274
0.248691,0.277522
0.239326,0.249214
0.260991,0.277882
0.206016,0.174551
0.0742473,0.0563643
0.0787621,0.0807064
0.194389,0.135755
0.220073,0.168297
0.154377,0.0748057
-0.0238523,-0.0436297
0.152719,0.0815414
0.0891736,0.0751391
0.0519385,0.0732484
-0.0377415,-0.0147523
-0.00121739,-0.0595723
-0.0877099,-0.08151
-0.0318345,-0.0388891
0.019737,0.0336791
0.0191349,0.0394673
0.152002,0.141001
0.0687674,0.080397
0.237878,0.289762
0.167335,0.229413
0.339907,0.346118
0.330208,0.303539
0.259554,0.250738
0.204945,0.228838
0.103953,0.153244
-0.00744686,0.0717909
0.0663322,0.11495
0.124237,0.0953529
0.108777,0.141719
0.374957,0.394619
0.299053,0.372478
0.164626,0.215606
0.265671,0.250478
0.0851969,0.0927414
0.0969305,0.0723247
0.0144464,0.00390246
0.201209,0.1374
0.123508,0.130409
0.197044,0.212797
0.272935,0.315601
0.4018,0.425014
0.413169,0.402915
0.282314,0.309804
0.223973,0.230067
0.203972,0.178833
0.280484,0.233452
0.235297,0.213349
0.203715,0.218315
0.226098,0.199704
0.140553,0.164769
0.103134,0.123733
0.0136077,0.0715889
-0.0102201,-0.0103249
0.0947256,0.0436706
0.268386,0.227648
0.147176,0.134558
-0.0724857,0.00225603
-0.118813,-0.0895835
-0.158645,-0.119986
0.0438545,-0.00579085
-0.0764389,-0.10535
0.0428509,0.0255353
-0.0473907,-0.0589579
-0.194298,-0.179291
-0.161536,-0.142307
-0.0533597,-0.0286496
-0.133561,-0.116524
-0.134269,-0.101207
-0.117862,-0.037538
-0.0351926,0.0808045
-0.00141533,0.113502
0.269748,0.302825
0.283068,0.340157
0.295403,0.351646
0.165988,0.235161
0.153326,0.236585
0.0825909,0.151657
0.167655,0.192187
0.193587,0.212154
0.155673,0.20223
0.198638,0.219541
0.193286,0.189933
0.121789,0.138736
0.161895,0.175903
0.0510283,0.0810887
-0.0555378,-0.0101729
-0.185216,-0.125284
0.112144,0.161999
0.277885,0.277267
0.304275,0.293983
0.185137,0.173556
-0.0203484,-0.00313039
-0.131973,-0.127862
-0.0100366,0.0352956
0.114254,0.179681
0.145612,0.212552
0.201935,0.212334
0.301994,0.27896
0.328912,0.356475
0.512702,0.51209
0.516875,0.486328
0.45745,0.400391
0.506846,0.45661
0.369688,0.388256
0.291788,0.326342
0.323017,0.346227
0.185353,0.287763
0.202399,0.261519
0.231669,0.258248
0.401212,0.388415
0.407569,0.333266
0.281354,0.230096
0.357928,0.306217
0.354104,0.303037
0.0632562,0.0556856
0.269697,0.303242
0.289032,0.316346
0.347891,0.383163
0.196668,0.199635
0.158358,0.154486
0.132678,0.0779536
0.224109,0.16107
0.0780785,0.0187827
0.0944868,0.0086626
-0.0691964,-0.11402
-0.113384,-0.121125
-0.163179,-0.162006
-0.172571,-0.235776
-0.216198,-0.237995
-0.190498,-0.269106
-0.136625,-0.215242
-0.322175,-0.313601
-0.358081,-0.319003
-0.502442,-0.492937
-0.356192,-0.342324
-0.48443,-0.487185
-0.413875,-0.4186
-0.235437,-0.235504
-0.251738,-0.206598
-0.325404,-0.305607
-0.463115,-0.423479
-0.467945,-0.432085
-0.250712,-0.212125
-0.287471,-0.238272
-0.141435,-0.103103
-0.125021,-0.0938303
-0.287504,-0.253627
-0.279624,-0.259525
-0.224602,-0.185004
-0.22039,-0.202204
-0.356618,-0.344762
-0.376664,-0.361672
-0.277917,-0.278678
-0.223002,-0.221739
-0.142151,-0.115224
-0.19335,-0.145743
-0.0703425,-0.0453625
-0.0912514,-0.0474831
-0.217002,-0.155809
-0.104841,-0.124903
0.0744248,-0.0107596
-0.018714,-0.0937531
0.0715549,-0.0349544
0.0805116,1.87498e-06
0.211404,0.134975
0.0990907,0.0458611
0.0702488,0.00219309
-0.0523912,-0.116056
0.0105528,-0.125672
-0.106262,-0.174332
-0.0581519,-0.127082
-0.257403,-0.25367
-0.204415,-0.150542
-0.320989,-0.267687
-0.191746,-0.187262
-0.108565,-0.109217
0.0489634,0.0761945
