the last, the last 100 averaged mu
0.0642292,0.0992538
0.153176,0.18635
0.283479,0.299601
0.253249,0.261809
0.282589,0.326574
0.291309,0.355579
0.265873,0.370997
0.235434,0.291304
0.143774,0.237059
-0.0414289,0.030484
0.0634677,0.119046
0.0329645,0.0758222
0.0225378,-0.00788956
0.0175646,-0.0265963
0.0516165,0.0430105
0.0364918,0.0182502
0.186561,0.119807
0.106473,0.113888
0.132655,0.0750588
0.125869,0.091304
0.0416626,-0.0112389
-0.066965,-0.0262943
-0.035133,-0.0215015
-0.0746589,0.00692076
-0.0453263,-0.0117712
0.0391894,0.079933
-0.0433715,0.0143385
0.080299,0.151631
0.00518845,0.0325352
0.0310729,0.0711039
0.280932,0.270377
0.324133,0.286145
0.38502,0.375972
0.316508,0.327847
0.339565,0.280956
0.35134,0.291867
0.346405,0.332463
0.477623,0.397888
0.531014,0.420157
0.521854,0.438692
0.409231,0.367198
0.307609,0.283515
0.307614,0.276227
0.28344,0.272542
0.414054,0.42499
0.395023,0.47659
0.440354,0.413355
0.449373,0.394548
0.473846,0.437322
0.607285,0.638562
0.643006,0.650499
0.662031,0.621785
0.488849,0.461389
0.345425,0.395346
0.226074,0.281785
0.217232,0.253097
0.190486,0.263825
0.164393,0.168304
0.0260284,0.0595857
-0.0453937,0.0740183
0.00791824,0.116495
0.0547853,0.131468
0.0182014,0.0425336
-0.00416754,-0.0594323
0.104111,0.0531549
0.0517641,0.0530283
0.0777608,0.0481533
0.0195216,-0.0294059
-0.1082,-0.077959
-0.0402079,-0.087306
0.0293707,-0.0410421
0.132508,0.0442644
0.109361,0.0557813
0.15064,0.144469
0.123121,0.0938257
0.288413,0.285256
0.232466,0.237816
0.35872,0.333991
0.284307,0.291675
0.223633,0.241093
0.190219,0.223594
0.142985,0.162986
0.0865619,0.0913304
0.125517,0.134119
0.0685603,0.12011
0.169325,0.166055
0.431716,0.383302
0.384242,0.367115
0.180243,0.236771
0.18214,0.265407
0.100798,0.129929
0.0850924,0.112843
-0.0247508,0.0460621
0.119435,0.160199
0.114761,0.156474
0.159076,0.244537
0.28189,0.332804
0.3311,0.415661
0.317071,0.388234
0.248783,0.30093
0.156413,0.24176
0.202866,0.198803
0.22333,0.245503
0.167343,0.224311
0.087719,0.22648
0.16395,0.20135
0.158914,0.163685
0.153133,0.128216
0.126107,0.0790818
0.00707326,0.00281738
0.0716234,0.0448961
0.199881,0.185304
0.0390751,0.0950927
-0.0655023,-0.0173094
-0.126315,-0.0947545
-0.142079,-0.11817
-0.0743253,-0.0142456
-0.0856158,-0.0923394
0.00515325,0.0185174
-0.064637,-0.0520003
-0.145917,-0.157392
-0.10933,-0.120868
-0.0692901,-0.021206
-0.113664,-0.0959774
-0.0813472,-0.0788793
-0.044036,-0.0147695
0.0718935,0.0871292
0.189975,0.12369
0.370614,0.295083
0.40211,0.324851
0.435295,0.325054
0.285933,0.222998
0.242415,0.231674
0.166947,0.164758
0.20611,0.211748
0.247386,0.233218
0.231784,0.220135
0.279696,0.220996
0.288363,0.18761
0.266244,0.145151
0.253125,0.181386
0.133088,0.107452
0.0496976,0.0278645
-0.0888107,-0.0686055
0.126292,0.163135
0.205009,0.252501
0.194152,0.256339
0.0542558,0.141158
-0.00204536,-0.0107841
-0.0744413,-0.114932
-0.000213774,0.0202281
0.14847,0.15082
0.169848,0.199779
0.255148,0.217403
0.310717,0.282638
0.331596,0.350451
0.434145,0.472779
0.443568,0.441886
0.35479,0.359272
0.427099,0.406634
0.39714,0.34556
0.345129,0.299716
0.34543,0.314592
0.347932,0.265144
0.286843,0.249146
0.278272,0.250867
0.355194,0.372463
0.31917,0.332627
0.288631,0.237045
0.357047,0.297253
0.277043,0.294523
0.107504,0.0968069
0.235866,0.308385
0.237064,0.309482
0.315217,0.358821
0.185512,0.200019
0.174089,0.157421
0.131303,0.0868927
0.153837,0.156132
0.0220515,0.0297741
0.0101658,0.0204981
-0.137403,-0.0859793
-0.0888587,-0.0964454
-0.161004,-0.139564
-0.237536,-0.210744
-0.278366,-0.223222
-0.253151,-0.253773
-0.17584,-0.204548
-0.28517,-0.29205
-0.331547,-0.299414
-0.546976,-0.458604
-0.420063,-0.342593
-0.52855,-0.478548
-0.469913,-0.429148
-0.309596,-0.27063
-0.255397,-0.237942
-0.280992,-0.31715
-0.395798,-0.414113
-0.440234,-0.412675
-0.259086,-0.223288
-0.200947,-0.244931
-0.052296,-0.127071
-0.13506,-0.128831
-0.258099,-0.268239
-0.270057,-0.276878
-0.206323,-0.214954
-0.207914,-0.237564
-0.311606,-0.352205
-0.317241,-0.357778
-0.23892,-0.275404
-0.200524,-0.214382
-0.110504,-0.117257
-0.173709,-0.139969
-0.108259,-0.0595604
-0.0991553,-0.0644794
-0.107671,-0.14759
-0.0739794,-0.113589
0.00543247,-0.00900067
-0.177923,-0.0830055
-0.109337,-0.0241628
0.0254469,0.00427399
0.161335,0.109567
0.0344902,0.0116971
-0.00763488,-0.034281
-0.110141,-0.128167
-0.128546,-0.142086
-0.111701,-0.181385
-0.0598236,-0.138524
-0.206213,-0.241112
-0.117842,-0.152339
-0.199889,-0.248281
-0.156709,-0.167541
-0.0803822,-0.0896472
0.0519646,0.068167
-0.00287519,0.0262548
0.0158252,0.0414021
0.0384903,0.043509
-0.0380285,-0.0365718
-0.000308988,-0.013858
-0.129899,-0.13133
-0.035558,-0.045953
-0.0244761,-0.023249
-0.0422841,-0.0386435
0.0666337,0.0874797
0.237598,0.219097
0.19784,0.206535
0.1661,0.175456
0.0767056,0.109615
0.0556934,0.0579111
0.143797,0.146396
0.0365343,0.0759277
0.063503,0.0928741
0.0354939,0.116432
0.00967173,0.0777508
0.222633,0.290224
0.0900427,0.106287
0.184021,0.182181
0.107388,0.0549269
0.0418246,-0.0227483
0.0450102,0.03024
0.0751051,0.0672308
0.170555,0.101923
0.245918,0.214142
0.248955,0.2586
0.239628,0.310914
0.336932,0.320051
0.457862,0.415771
0.526191,0.599171
0.412397,0.487606
0.406504,0.435262
0.402258,0.452227
0.262661,0.282275
0.246895,0.291348
0.434866,0.405289
0.3591,0.350629
0.410622,0.400775
0.286096,0.365243
0.258496,0.351128
0.141347,0.28129
0.164683,0.233947
0.0883667,0.208139
0.0348922,0.115613
0.0130443,0.0193588
0.0332641,0.0612635
-0.0971818,-0.117448
0.0126261,-0.0217947
0.0499735,0.0098131
0.15231,0.119493
0.153203,0.0931448
0.146718,0.140215
0.163195,0.141228
0.168728,0.196593
0.211183,0.156504
0.113829,0.100254
0.0592212,0.0692491
-0.020785,-0.0179478
-0.0880315,-0.114305
-0.0372937,-0.0695404
-0.00748189,-0.0277414
-0.0314891,0.021944
0.0971868,0.129937
0.0908797,0.0971724
0.140279,0.177688
0.25905,0.248574
0.265447,0.299269
0.339286,0.411181
0.341517,0.335997
0.330978,0.303439
0.42269,0.359693
0.413889,0.377386
0.446142,0.489374
0.440341,0.506484
0.459889,0.48361
0.457017,0.446462
0.35067,0.350682
0.358396,0.362544
0.232517,0.26753
0.176693,0.17022
0.19172,0.179792
0.338372,0.337146
0.388814,0.364766
0.380162,0.394067
0.26494,0.273641
0.180625,0.170079
0.223858,0.195332
0.185139,0.162009
0.0659438,0.0485078
0.132678,0.127368
0.107831,0.114162
-0.00533749,0.0239875
-0.00372891,0.0527522
0.0355225,0.111172
0.0425407,0.120208
0.0591754,0.066686
0.116281,0.0863627
0.0183733,0.0582735
0.0246063,-0.0220602
-0.0132781,-0.0698894
0.0220489,-0.00816143
0.0370067,0.037963
0.0033286,0.00284658
-0.132182,-0.176854
-0.0161715,-0.0476025
-0.0341046,-0.0581609
0.0386723,0.0106081
-0.0321717,-0.0615747
0.000896827,-0.0101436
0.0487318,0.0242689
0.133368,0.0691838
0.139666,0.112213
0.149467,0.142463
