E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.0713536, -0.0221183, 1, 0.530804, 0.898623
0.0626676, 0.0990507, 0.746983, 0.345964, 0.796349
0.0756857, 0.120521, 0.480077, 0.288164, 0.707039
0.084155, 0.144103, 0.367568, 0.247708, 0.607828
0.0840779, 0.266404, 0.303787, 0.228516, 0.616216
0.0838614, 0.344259, 0.287535, 0.214718, 0.626494
0.0606708, 0.394247, 0.264663, 0.191136, 0.57705
0.0471544, 0.455163, 0.256152, 0.190938, 0.587185
0.0522657, 0.489974, 0.246975, 0.174243, 0.567103
0.0761899, 0.493693, 0.246975, 0.169192, 0.576651
0.0797145, 0.569149, 0.236485, 0.156868, 0.565201
0.0684696, 0.58674, 0.236485, 0.147296, 0.578715
0.0744546, 0.652049, 0.236208, 0.137219, 0.576734
0.0815916, 0.660436, 0.236208, 0.132142, 0.576259
0.0794888, 0.689595, 0.225702, 0.120032, 0.552201
0.0884873, 0.686017, 0.225702, 0.115781, 0.529385
0.101005, 0.731765, 0.225702, 0.110862, 0.554576
0.103041, 0.764225, 0.225702, 0.103948, 0.555818
0.0909681, 0.766382, 0.225702, 0.104523, 0.585
0.0750868, 0.783693, 0.225702, 0.097607, 0.604269
0.0900052, 0.804608, 0.225702, 0.0938145, 0.618148
0.0959942, 0.819907, 0.225702, 0.0927156, 0.611705
0.083256, 0.825293, 0.225702, 0.0921224, 0.603546
0.10836, 0.838013, 0.225702, 0.091335, 0.587115
0.115219, 0.830038, 0.225702, 0.0877999, 0.602313
0.0752961, 0.815199, 0.225702, 0.086867, 0.619407
0.0794869, 0.807404, 0.225702, 0.0881955, 0.611637
0.0700226, 0.810109, 0.225702, 0.0885773, 0.581544
0.0707163, 0.820479, 0.225702, 0.0865671, 0.579783
0.0901784, 0.815706, 0.225702, 0.0880165, 0.593454
0.12513, 0.850686, 0.225702, 0.0850241, 0.572781
0.0978421, 0.837613, 0.225702, 0.0864234, 0.574938
0.110606, 0.838483, 0.225702, 0.0879455, 0.578606
0.111562, 0.846705, 0.225702, 0.0897346, 0.589759
0.122372, 0.843622, 0.225702, 0.0897952, 0.595114
0.108333, 0.824325, 0.225702, 0.0880444, 0.559249
0.115186, 0.843021, 0.225702, 0.0896192, 0.56852
0.0944416, 0.857807, 0.225702, 0.0840805, 0.577412
0.0813024, 0.871568, 0.225702, 0.0854035, 0.590844
0.132478, 0.85646, 0.225702, 0.086431, 0.602061
0.10598, 0.839611, 0.225702, 0.0875858, 0.601199
0.106767, 0.84911, 0.225702, 0.0869564, 0.59915
0.122753, 0.853238, 0.225702, 0.0849513, 0.614592
0.106306, 0.850784, 0.225702, 0.0838127, 0.644003
0.0937775, 0.857558, 0.225702, 0.0839682, 0.637139
0.0712566, 0.885518, 0.225702, 0.0827242, 0.651785
0.104259, 0.895827, 0.225702, 0.0823019, 0.654534
0.0596353, 0.889146, 0.225702, 0.0825054, 0.658719
0.0350682, 0.907627, 0.225702, 0.0832683, 0.642727
0.0896992, 0.911, 0.225702, 0.0807891, 0.652069
0.0948874, 0.914924, 0.225702, 0.081979, 0.614989
0.0489377, 0.912009, 0.225702, 0.0806212, 0.602323
0.0667013, 0.898682, 0.225702, 0.0763167, 0.58749
0.023599, 0.912965, 0.225702, 0.0750962, 0.592938
0.0367447, 0.892456, 0.225702, 0.0757482, 0.579286
0.0637499, 0.899028, 0.225702, 0.0742102, 0.612934
0.0864643, 0.939937, 0.225702, 0.0734596, 0.577406
0.108018, 0.949194, 0.225702, 0.0719605, 0.575659
0.0652005, 0.934424, 0.225702, 0.0727565, 0.624457
0.0690532, 0.913053, 0.225702, 0.0703976, 0.638065
0.0861478, 0.906097, 0.225702, 0.0714228, 0.659262
0.0746796, 0.929835, 0.225702, 0.0742125, 0.654551
0.106299, 0.938483, 0.225702, 0.0757061, 0.689261
0.0884748, 0.917487, 0.225702, 0.0762914, 0.695014
0.0486747, 0.957299, 0.225702, 0.0766446, 0.707846
0.072576, 0.913156, 0.225702, 0.0743617, 0.697821
0.0952119, 0.909001, 0.225702, 0.0719796, 0.692134
0.0553857, 0.912472, 0.225702, 0.0689523, 0.688828
0.0676964, 0.919027, 0.225702, 0.068107, 0.663037
0.0662922, 0.91407, 0.225702, 0.0694141, 0.659366
0.0796117, 0.904305, 0.225702, 0.0715853, 0.649659
0.0933434, 0.924651, 0.225702, 0.0700888, 0.662286
0.124034, 0.94359, 0.225702, 0.0713573, 0.66459
0.0996967, 0.919299, 0.225702, 0.0665809, 0.651457
0.0992067, 0.923302, 0.225702, 0.0676999, 0.652671
0.132312, 0.91581, 0.225702, 0.0675157, 0.647167
0.0944406, 0.918139, 0.225702, 0.0652655, 0.666471
0.115895, 0.924798, 0.225702, 0.0646282, 0.648449
0.127065, 0.913609, 0.225702, 0.0608249, 0.616719
0.127019, 0.91468, 0.225702, 0.0584149, 0.610558
0.141292, 0.931657, 0.225702, 0.0601106, 0.605814
0.0880578, 0.926591, 0.225702, 0.0600021, 0.630956
0.125102, 0.911715, 0.225702, 0.0603457, 0.647708
0.123367, 0.920293, 0.225702, 0.0618028, 0.650419
0.115758, 0.921163, 0.225702, 0.0624658, 0.64104
0.123098, 0.934038, 0.225702, 0.0604578, 0.627604
0.0793806, 0.923159, 0.225702, 0.0618724, 0.623349
0.0857792, 0.924415, 0.225702, 0.0603954, 0.622508
0.0977178, 0.934269, 0.225702, 0.0595117, 0.599918
0.0953635, 0.932469, 0.225702, 0.0568156, 0.603465
0.0902904, 0.932551, 0.225702, 0.0539294, 0.626836
0.0863151, 0.944402, 0.225702, 0.0569655, 0.620731
